seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,36.0,64.0,0.36,0.64,0.7,3.12,4.12,1.0,0.92,90.0,10.0,0.9,0.1
43,100.0,34.0,66.0,0.34,0.66,0.72,2.84,3.84,0.73,0.98,94.0,6.0,0.94,0.06
44,100.0,37.0,63.0,0.37,0.63,0.67,3.5,4.5,1.23,0.96,89.0,11.0,0.89,0.11
45,100.0,30.0,70.0,0.3,0.7,0.7,3.41,4.41,1.22,0.97,87.0,13.0,0.87,0.13
46,100.0,42.0,58.0,0.42,0.58,0.78,3.46,4.46,1.25,0.94,84.0,16.0,0.84,0.16
47,100.0,32.0,68.0,0.32,0.68,0.68,2.9,3.9,0.78,0.94,95.0,5.0,0.95,0.05
48,100.0,34.0,66.0,0.34,0.66,0.72,3.44,4.44,1.22,0.96,90.0,10.0,0.9,0.1
49,100.0,34.0,66.0,0.34,0.66,0.7,3.06,4.06,0.94,0.96,89.0,11.0,0.89,0.11
50,100.0,33.0,67.0,0.33,0.67,0.73,3.6,4.6,1.47,0.96,82.0,18.0,0.82,0.18
51,100.0,33.0,67.0,0.33,0.67,0.69,3.29,4.29,1.07,0.99,92.0,8.0,0.92,0.08
52,100.0,37.0,63.0,0.37,0.63,0.79,3.27,4.27,1.18,0.93,89.0,11.0,0.89,0.11
53,100.0,37.0,63.0,0.37,0.63,0.66,3.31,4.31,1.09,0.93,91.0,9.0,0.91,0.09
54,100.0,32.0,68.0,0.32,0.68,0.77,3.78,4.78,1.62,0.94,79.0,21.0,0.79,0.21
55,100.0,36.0,64.0,0.36,0.64,0.67,3.11,4.11,0.98,0.95,91.0,9.0,0.91,0.09
56,100.0,39.0,61.0,0.39,0.61,0.69,3.46,4.46,1.34,0.94,86.0,14.0,0.86,0.14
57,100.0,35.0,65.0,0.35,0.65,0.75,3.2,4.2,1.16,0.92,84.0,16.0,0.84,0.16
58,100.0,32.0,68.0,0.32,0.68,0.67,3.31,4.31,1.11,0.95,92.0,8.0,0.92,0.08
59,100.0,39.0,61.0,0.39,0.61,0.73,3.44,4.44,1.31,0.94,83.0,17.0,0.83,0.17
60,100.0,43.0,57.0,0.43,0.57,0.73,3.45,4.45,1.37,0.87,81.0,19.0,0.81,0.19
61,100.0,25.0,75.0,0.25,0.75,0.59,3.31,4.31,1.07,0.99,93.0,7.0,0.93,0.07
62,100.0,28.0,72.0,0.28,0.72,0.69,3.37,4.37,1.17,0.97,86.0,14.0,0.86,0.14
63,100.0,29.0,71.0,0.29,0.71,0.7,3.33,4.33,1.19,0.97,88.0,12.0,0.88,0.12
64,100.0,28.0,72.0,0.28,0.72,0.64,3.41,4.41,1.3,0.95,86.0,14.0,0.86,0.14
65,100.0,30.0,70.0,0.3,0.7,0.72,3.08,4.08,0.98,0.96,90.0,10.0,0.9,0.1
66,100.0,33.0,67.0,0.33,0.67,0.68,3.37,4.37,1.17,0.97,89.0,11.0,0.89,0.11
67,100.0,34.0,66.0,0.34,0.66,0.74,3.16,4.16,1.0,0.94,87.0,13.0,0.87,0.13
68,100.0,38.0,62.0,0.38,0.62,0.75,3.23,4.23,1.09,0.91,88.0,12.0,0.88,0.12
69,100.0,29.0,71.0,0.29,0.71,0.68,3.33,4.33,1.21,0.97,89.0,11.0,0.89,0.11
70,100.0,36.0,64.0,0.36,0.64,0.71,3.27,4.27,1.23,0.91,84.0,16.0,0.84,0.16
71,100.0,33.0,67.0,0.33,0.67,0.78,3.34,4.34,1.19,0.96,90.0,10.0,0.9,0.1
72,100.0,36.0,64.0,0.36,0.64,0.69,3.25,4.25,1.06,0.97,93.0,7.0,0.93,0.07
73,100.0,37.0,63.0,0.37,0.63,0.69,3.03,4.03,0.94,0.91,93.0,7.0,0.93,0.07
74,100.0,19.0,81.0,0.19,0.81,0.73,3.34,4.34,1.04,1.0,90.0,10.0,0.9,0.1
75,100.0,30.0,70.0,0.3,0.7,0.65,3.39,4.39,1.25,0.99,86.0,14.0,0.86,0.14
76,100.0,37.0,63.0,0.37,0.63,0.73,3.31,4.31,1.18,0.93,84.0,16.0,0.84,0.16
77,100.0,31.0,69.0,0.31,0.69,0.67,3.34,4.34,1.21,0.96,85.0,15.0,0.85,0.15
78,100.0,27.0,73.0,0.27,0.73,0.71,3.16,4.16,0.98,0.98,94.0,6.0,0.94,0.06
79,100.0,36.0,64.0,0.36,0.64,0.68,3.5,4.5,1.25,0.94,87.0,13.0,0.87,0.13
80,100.0,35.0,65.0,0.35,0.65,0.7,3.16,4.16,1.03,0.96,88.0,12.0,0.88,0.12
81,100.0,37.0,63.0,0.37,0.63,0.69,3.21,4.21,1.06,0.93,89.0,11.0,0.89,0.11
82,100.0,31.0,69.0,0.31,0.69,0.69,3.41,4.41,1.29,0.93,86.0,14.0,0.86,0.14
83,100.0,34.0,66.0,0.34,0.66,0.72,3.53,4.53,1.32,0.93,87.0,13.0,0.87,0.13
84,100.0,29.0,71.0,0.29,0.71,0.62,3.28,4.28,1.09,0.98,92.0,8.0,0.92,0.08
85,100.0,30.0,70.0,0.3,0.7,0.66,3.14,4.14,0.95,0.96,89.0,11.0,0.89,0.11
86,100.0,36.0,64.0,0.36,0.64,0.7,3.31,4.31,1.02,0.95,94.0,6.0,0.94,0.06
87,100.0,33.0,67.0,0.33,0.67,0.71,3.47,4.47,1.33,0.95,92.0,8.0,0.92,0.08
88,100.0,28.0,72.0,0.28,0.72,0.74,3.25,4.25,1.07,0.95,93.0,7.0,0.93,0.07
89,100.0,33.0,67.0,0.33,0.67,0.66,3.47,4.47,1.22,0.99,88.0,12.0,0.88,0.12
