seed,metric_value,scenario,metric,ablation
42,0.48,balanced,p_open,full
42,0.16,balanced,p_timeout,full
42,4.41,balanced,commit_latency,full
42,5.41,balanced,junction_pause,full
42,1.68,balanced,reorientation,full
43,0.4,balanced,p_open,full
43,0.18,balanced,p_timeout,full
43,4.55,balanced,commit_latency,full
43,5.55,balanced,junction_pause,full
43,1.66,balanced,reorientation,full
44,0.53,balanced,p_open,full
44,0.21,balanced,p_timeout,full
44,4.6,balanced,commit_latency,full
44,5.6,balanced,junction_pause,full
44,1.84,balanced,reorientation,full
45,0.4,balanced,p_open,full
45,0.15,balanced,p_timeout,full
45,4.26,balanced,commit_latency,full
45,5.26,balanced,junction_pause,full
45,1.53,balanced,reorientation,full
46,0.41,balanced,p_open,full
46,0.28,balanced,p_timeout,full
46,4.77,balanced,commit_latency,full
46,5.77,balanced,junction_pause,full
46,2.03,balanced,reorientation,full
47,0.49,balanced,p_open,full
47,0.17,balanced,p_timeout,full
47,4.41,balanced,commit_latency,full
47,5.41,balanced,junction_pause,full
47,1.68,balanced,reorientation,full
48,0.48,balanced,p_open,full
48,0.19,balanced,p_timeout,full
48,4.66,balanced,commit_latency,full
48,5.66,balanced,junction_pause,full
48,1.87,balanced,reorientation,full
49,0.49,balanced,p_open,full
49,0.18,balanced,p_timeout,full
49,4.47,balanced,commit_latency,full
49,5.47,balanced,junction_pause,full
49,1.7,balanced,reorientation,full
50,0.49,balanced,p_open,full
50,0.16,balanced,p_timeout,full
50,4.41,balanced,commit_latency,full
50,5.41,balanced,junction_pause,full
50,1.76,balanced,reorientation,full
51,0.51,balanced,p_open,full
51,0.13,balanced,p_timeout,full
51,4.29,balanced,commit_latency,full
51,5.29,balanced,junction_pause,full
51,1.54,balanced,reorientation,full
52,0.51,balanced,p_open,full
52,0.23,balanced,p_timeout,full
52,4.53,balanced,commit_latency,full
52,5.53,balanced,junction_pause,full
52,1.79,balanced,reorientation,full
53,0.44,balanced,p_open,full
53,0.18,balanced,p_timeout,full
53,4.46,balanced,commit_latency,full
53,5.46,balanced,junction_pause,full
53,1.68,balanced,reorientation,full
54,0.46,balanced,p_open,full
54,0.2,balanced,p_timeout,full
54,4.49,balanced,commit_latency,full
54,5.49,balanced,junction_pause,full
54,1.78,balanced,reorientation,full
55,0.43,balanced,p_open,full
55,0.17,balanced,p_timeout,full
55,4.38,balanced,commit_latency,full
55,5.38,balanced,junction_pause,full
55,1.52,balanced,reorientation,full
56,0.45,balanced,p_open,full
56,0.17,balanced,p_timeout,full
56,4.44,balanced,commit_latency,full
56,5.44,balanced,junction_pause,full
56,1.71,balanced,reorientation,full
57,0.4,balanced,p_open,full
57,0.21,balanced,p_timeout,full
57,4.51,balanced,commit_latency,full
57,5.51,balanced,junction_pause,full
57,1.8,balanced,reorientation,full
58,0.36,balanced,p_open,full
58,0.18,balanced,p_timeout,full
58,4.63,balanced,commit_latency,full
58,5.63,balanced,junction_pause,full
58,1.8,balanced,reorientation,full
59,0.54,balanced,p_open,full
59,0.19,balanced,p_timeout,full
59,4.57,balanced,commit_latency,full
59,5.57,balanced,junction_pause,full
59,1.84,balanced,reorientation,full
60,0.44,balanced,p_open,full
60,0.2,balanced,p_timeout,full
60,4.66,balanced,commit_latency,full
60,5.66,balanced,junction_pause,full
60,1.94,balanced,reorientation,full
61,0.41,balanced,p_open,full
61,0.19,balanced,p_timeout,full
61,4.35,balanced,commit_latency,full
61,5.35,balanced,junction_pause,full
61,1.69,balanced,reorientation,full
62,0.44,balanced,p_open,full
62,0.18,balanced,p_timeout,full
62,4.37,balanced,commit_latency,full
62,5.37,balanced,junction_pause,full
62,1.64,balanced,reorientation,full
63,0.43,balanced,p_open,full
63,0.23,balanced,p_timeout,full
63,4.68,balanced,commit_latency,full
63,5.68,balanced,junction_pause,full
63,1.85,balanced,reorientation,full
64,0.36,balanced,p_open,full
64,0.18,balanced,p_timeout,full
64,4.46,balanced,commit_latency,full
64,5.46,balanced,junction_pause,full
64,1.7,balanced,reorientation,full
65,0.42,balanced,p_open,full
65,0.17,balanced,p_timeout,full
65,4.19,balanced,commit_latency,full
65,5.19,balanced,junction_pause,full
65,1.49,balanced,reorientation,full
66,0.37,balanced,p_open,full
66,0.17,balanced,p_timeout,full
66,4.41,balanced,commit_latency,full
66,5.41,balanced,junction_pause,full
66,1.55,balanced,reorientation,full
67,0.41,balanced,p_open,full
67,0.2,balanced,p_timeout,full
67,4.48,balanced,commit_latency,full
67,5.48,balanced,junction_pause,full
67,1.61,balanced,reorientation,full
68,0.45,balanced,p_open,full
68,0.16,balanced,p_timeout,full
68,4.54,balanced,commit_latency,full
68,5.54,balanced,junction_pause,full
68,1.83,balanced,reorientation,full
69,0.41,balanced,p_open,full
69,0.15,balanced,p_timeout,full
69,4.35,balanced,commit_latency,full
69,5.35,balanced,junction_pause,full
69,1.73,balanced,reorientation,full
70,0.43,balanced,p_open,full
70,0.22,balanced,p_timeout,full
70,4.5,balanced,commit_latency,full
70,5.5,balanced,junction_pause,full
70,1.75,balanced,reorientation,full
71,0.43,balanced,p_open,full
71,0.15,balanced,p_timeout,full
71,4.5,balanced,commit_latency,full
71,5.5,balanced,junction_pause,full
71,1.68,balanced,reorientation,full
72,0.43,balanced,p_open,full
72,0.15,balanced,p_timeout,full
72,4.52,balanced,commit_latency,full
72,5.52,balanced,junction_pause,full
72,1.69,balanced,reorientation,full
73,0.49,balanced,p_open,full
73,0.21,balanced,p_timeout,full
73,4.5,balanced,commit_latency,full
73,5.5,balanced,junction_pause,full
73,1.83,balanced,reorientation,full
74,0.38,balanced,p_open,full
74,0.15,balanced,p_timeout,full
74,4.4,balanced,commit_latency,full
74,5.4,balanced,junction_pause,full
74,1.52,balanced,reorientation,full
75,0.46,balanced,p_open,full
75,0.21,balanced,p_timeout,full
75,4.61,balanced,commit_latency,full
75,5.61,balanced,junction_pause,full
75,1.8,balanced,reorientation,full
76,0.45,balanced,p_open,full
76,0.16,balanced,p_timeout,full
76,4.44,balanced,commit_latency,full
76,5.44,balanced,junction_pause,full
76,1.72,balanced,reorientation,full
77,0.46,balanced,p_open,full
77,0.18,balanced,p_timeout,full
77,4.54,balanced,commit_latency,full
77,5.54,balanced,junction_pause,full
77,1.94,balanced,reorientation,full
78,0.38,balanced,p_open,full
78,0.18,balanced,p_timeout,full
78,4.45,balanced,commit_latency,full
78,5.45,balanced,junction_pause,full
78,1.53,balanced,reorientation,full
79,0.44,balanced,p_open,full
79,0.14,balanced,p_timeout,full
79,4.52,balanced,commit_latency,full
79,5.52,balanced,junction_pause,full
79,1.71,balanced,reorientation,full
80,0.49,balanced,p_open,full
80,0.17,balanced,p_timeout,full
80,4.5,balanced,commit_latency,full
80,5.5,balanced,junction_pause,full
80,1.66,balanced,reorientation,full
81,0.44,balanced,p_open,full
81,0.17,balanced,p_timeout,full
81,4.49,balanced,commit_latency,full
81,5.49,balanced,junction_pause,full
81,1.7,balanced,reorientation,full
82,0.37,balanced,p_open,full
82,0.17,balanced,p_timeout,full
82,4.38,balanced,commit_latency,full
82,5.38,balanced,junction_pause,full
82,1.88,balanced,reorientation,full
83,0.46,balanced,p_open,full
83,0.18,balanced,p_timeout,full
83,4.44,balanced,commit_latency,full
83,5.44,balanced,junction_pause,full
83,1.74,balanced,reorientation,full
84,0.48,balanced,p_open,full
84,0.2,balanced,p_timeout,full
84,4.35,balanced,commit_latency,full
84,5.35,balanced,junction_pause,full
84,1.61,balanced,reorientation,full
85,0.39,balanced,p_open,full
85,0.19,balanced,p_timeout,full
85,4.34,balanced,commit_latency,full
85,5.34,balanced,junction_pause,full
85,1.66,balanced,reorientation,full
86,0.44,balanced,p_open,full
86,0.17,balanced,p_timeout,full
86,4.54,balanced,commit_latency,full
86,5.54,balanced,junction_pause,full
86,1.78,balanced,reorientation,full
87,0.51,balanced,p_open,full
87,0.17,balanced,p_timeout,full
87,4.45,balanced,commit_latency,full
87,5.45,balanced,junction_pause,full
87,1.78,balanced,reorientation,full
88,0.41,balanced,p_open,full
88,0.18,balanced,p_timeout,full
88,4.46,balanced,commit_latency,full
88,5.46,balanced,junction_pause,full
88,1.85,balanced,reorientation,full
89,0.44,balanced,p_open,full
89,0.16,balanced,p_timeout,full
89,4.42,balanced,commit_latency,full
89,5.42,balanced,junction_pause,full
89,1.67,balanced,reorientation,full
90,0.49,balanced,p_open,full
90,0.21,balanced,p_timeout,full
90,4.52,balanced,commit_latency,full
90,5.52,balanced,junction_pause,full
90,1.9,balanced,reorientation,full
91,0.43,balanced,p_open,full
91,0.12,balanced,p_timeout,full
91,4.54,balanced,commit_latency,full
91,5.54,balanced,junction_pause,full
91,1.74,balanced,reorientation,full
42,0.0,balanced,p_open,novg
42,0.0,balanced,p_timeout,novg
42,1.0,balanced,commit_latency,novg
42,2.0,balanced,junction_pause,novg
42,0.0,balanced,reorientation,novg
43,0.0,balanced,p_open,novg
43,0.0,balanced,p_timeout,novg
43,1.0,balanced,commit_latency,novg
43,2.0,balanced,junction_pause,novg
43,0.0,balanced,reorientation,novg
44,0.01,balanced,p_open,novg
44,0.0,balanced,p_timeout,novg
44,1.0,balanced,commit_latency,novg
44,2.0,balanced,junction_pause,novg
44,0.0,balanced,reorientation,novg
45,0.0,balanced,p_open,novg
45,0.0,balanced,p_timeout,novg
45,1.0,balanced,commit_latency,novg
45,2.0,balanced,junction_pause,novg
45,0.0,balanced,reorientation,novg
46,0.01,balanced,p_open,novg
46,0.0,balanced,p_timeout,novg
46,1.0,balanced,commit_latency,novg
46,2.0,balanced,junction_pause,novg
46,0.0,balanced,reorientation,novg
47,0.0,balanced,p_open,novg
47,0.0,balanced,p_timeout,novg
47,1.0,balanced,commit_latency,novg
47,2.0,balanced,junction_pause,novg
47,0.0,balanced,reorientation,novg
48,0.01,balanced,p_open,novg
48,0.0,balanced,p_timeout,novg
48,1.0,balanced,commit_latency,novg
48,2.0,balanced,junction_pause,novg
48,0.0,balanced,reorientation,novg
49,0.01,balanced,p_open,novg
49,0.0,balanced,p_timeout,novg
49,1.0,balanced,commit_latency,novg
49,2.0,balanced,junction_pause,novg
49,0.0,balanced,reorientation,novg
50,0.01,balanced,p_open,novg
50,0.0,balanced,p_timeout,novg
50,1.0,balanced,commit_latency,novg
50,2.0,balanced,junction_pause,novg
50,0.0,balanced,reorientation,novg
51,0.0,balanced,p_open,novg
51,0.0,balanced,p_timeout,novg
51,1.0,balanced,commit_latency,novg
51,2.0,balanced,junction_pause,novg
51,0.0,balanced,reorientation,novg
52,0.0,balanced,p_open,novg
52,0.0,balanced,p_timeout,novg
52,1.0,balanced,commit_latency,novg
52,2.0,balanced,junction_pause,novg
52,0.0,balanced,reorientation,novg
53,0.0,balanced,p_open,novg
