seed,condition_id,reward_idx,threat_idx,n_trials,p_open,p_covered,p_commit_timeout,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,mean_junction_deliberation_proxy
42,R0_T1,0,1,100,0.26,0.74,0.0,3.06,4.06,0.96,3.9037726492318128
43,R0_T1,0,1,100,0.33,0.67,0.0,2.84,3.84,0.75,3.6027145190709238
44,R0_T1,0,1,100,0.31,0.69,0.0,3.44,4.44,1.26,4.3681340379426326
45,R0_T1,0,1,100,0.24,0.76,0.0,3.29,4.29,1.1,4.147929352104182
46,R0_T1,0,1,100,0.33,0.67,0.0,3.13,4.13,0.97,3.9421926309679325
47,R0_T1,0,1,100,0.33,0.67,0.0,2.91,3.91,0.83,3.7135679633933614
48,R0_T1,0,1,100,0.32,0.68,0.0,3.3,4.3,1.12,4.173727537056711
49,R0_T1,0,1,100,0.33,0.67,0.0,3.27,4.27,1.1,4.136332982199123
50,R0_T1,0,1,100,0.28,0.72,0.0,3.11,4.11,0.96,3.927896648821825
51,R0_T1,0,1,100,0.34,0.66,0.0,3.19,4.19,1.09,4.092114815510474
52,R0_T1,0,1,100,0.31,0.69,0.0,3.16,4.16,1.1,4.0871537232392035
53,R0_T1,0,1,100,0.31,0.69,0.0,3.36,4.36,1.24,4.309048946081349
54,R0_T1,0,1,100,0.34,0.66,0.0,3.28,4.28,1.22,4.259697704565335
55,R0_T1,0,1,100,0.29,0.71,0.0,3.26,4.26,1.12,4.150534797246594
56,R0_T1,0,1,100,0.3,0.7,0.0,3.36,4.36,1.23,4.3039158712539844
57,R0_T1,0,1,100,0.26,0.74,0.0,3.22,4.22,1.02,4.037075907781745
58,R0_T1,0,1,100,0.38,0.62,0.0,3.05,4.05,0.9,3.8428413894519173
59,R0_T1,0,1,100,0.35,0.65,0.0,3.34,4.34,1.2,4.264752963935242
60,R0_T1,0,1,100,0.32,0.68,0.0,3.21,4.21,1.13,4.143711185415533
