protocol,ablation,compared_ablation,target_path,expected_direction,metric_family,metric,post_window,full_delta,ablation_delta,full_directional_magnitude,ablation_directional_magnitude,directional_margin,localized,status,note
shock,full,novg,open,negative,behavior,p_target,post_11_30,-0.17668965517241378,0.001862068965517242,0.17668965517241378,-0.001862068965517242,0.17855172413793102,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,negative,behavior,p_target,post_11_30,-0.17668965517241378,-0.17668965517241378,0.17668965517241378,0.17668965517241378,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,negative,behavior,p_target,post_11_30,-0.17668965517241378,-0.007689655172413792,0.17668965517241378,0.007689655172413792,0.16899999999999998,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,negative,behavior,p_target,post_11_30,-0.17668965517241378,-0.00068965517241379,0.17668965517241378,0.00068965517241379,0.176,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,negative,behavior,p_target,post_all,-0.1089753694581281,0.002147783251231527,0.1089753694581281,-0.002147783251231527,0.11112315270935962,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,negative,behavior,p_target,post_all,-0.1089753694581281,-0.1089753694581281,0.1089753694581281,0.1089753694581281,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,negative,behavior,p_target,post_all,-0.1089753694581281,-0.005261083743842372,0.1089753694581281,0.005261083743842372,0.10371428571428572,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,negative,behavior,p_target,post_all,-0.1089753694581281,0.0021674876847290595,0.1089753694581281,-0.0021674876847290595,0.11114285714285715,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,behavior,p_target,post_11_30,0.1306896551724138,0.0041379310344827535,0.1306896551724138,0.0041379310344827535,0.12655172413793103,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,behavior,p_target,post_11_30,0.1306896551724138,0.006689655172413787,0.1306896551724138,0.006689655172413787,0.124,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,behavior,p_target,post_11_30,0.1306896551724138,0.1306896551724138,0.1306896551724138,0.1306896551724138,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,behavior,p_target,post_11_30,0.1306896551724138,0.0006896551724137868,0.1306896551724138,0.0006896551724137868,0.13,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,behavior,p_target,post_all,0.14497536945812806,0.00270935960591133,0.14497536945812806,0.00270935960591133,0.1422660098522167,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,behavior,p_target,post_all,0.14497536945812806,0.002403940886699495,0.14497536945812806,0.002403940886699495,0.14257142857142857,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,nox,covered,positive,behavior,p_target,post_all,0.14497536945812806,0.14497536945812806,0.14497536945812806,0.14497536945812806,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,one_shot_off,covered,positive,behavior,p_target,post_all,0.14497536945812806,-0.0021674876847290804,0.14497536945812806,-0.0021674876847290804,0.14714285714285713,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,h_risk,post_11_30,0.042134184255240674,0.07993593602471631,0.042134184255240674,0.07993593602471631,-0.03780175176947564,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,h_risk,post_11_30,0.042134184255240674,0.042134184255240674,0.042134184255240674,0.042134184255240674,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,h_risk,post_11_30,0.042134184255240674,0.0,0.042134184255240674,0.0,0.042134184255240674,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,h_risk,post_11_30,0.042134184255240674,0.012015000634453205,0.042134184255240674,0.012015000634453205,0.03011918362078747,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,h_risk,post_1_3,0.04868229172809448,0.06124782890728584,0.04868229172809448,0.06124782890728584,-0.012565537179191358,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,h_risk,post_1_3,0.04868229172809448,0.04868229172809448,0.04868229172809448,0.04868229172809448,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,h_risk,post_1_3,0.04868229172809448,0.0,0.04868229172809448,0.0,0.04868229172809448,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,h_risk,post_1_3,0.04868229172809448,0.011128396830672939,0.04868229172809448,0.011128396830672939,0.037553894897421544,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,h_risk,post_4_10,0.0599691804267642,0.0936156311700759,0.0599691804267642,0.0936156311700759,-0.033646450743311705,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,h_risk,post_4_10,0.0599691804267642,0.0599691804267642,0.0599691804267642,0.0599691804267642,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,h_risk,post_4_10,0.0599691804267642,0.0,0.0599691804267642,0.0,0.0599691804267642,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,h_risk,post_4_10,0.0599691804267642,0.013346986948754344,0.0599691804267642,0.013346986948754344,0.04662219347800985,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.05082470461491769,0.026231514946881803,0.05082470461491769,-0.02459318966803589,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.026231514946881803,0.026231514946881803,0.026231514946881803,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.0,0.026231514946881803,0.0,0.026231514946881803,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,h_risk,post_all,0.026231514946881803,0.012315999874987332,0.026231514946881803,0.012315999874987332,0.013915515071894471,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.31251721482186867,0.19897933078370525,0.31251721482186867,-0.11353788403816342,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.19897933078370525,0.19897933078370525,0.19897933078370525,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.09762911856964264,0.19897933078370525,0.09762911856964264,0.10135021221406261,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_11_30,0.19897933078370525,0.0,0.19897933078370525,0.0,0.19897933078370525,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_1_3,1.198716340565635,1.2558191115469994,1.198716340565635,1.2558191115469994,-0.057102770981364515,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_1_3,1.198716340565635,1.198716340565635,1.198716340565635,1.198716340565635,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_1_3,1.198716340565635,1.136581544282011,1.198716340565635,1.136581544282011,0.06213479628362384,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_1_3,1.198716340565635,0.0,1.198716340565635,0.0,1.198716340565635,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.8475407994596218,0.7636646330541391,0.8475407994596218,-0.08387616640548268,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.7636646330541391,0.7636646330541391,0.7636646330541391,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.5527076062214342,0.7636646330541391,0.5527076062214342,0.2109570268327049,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_4_10,0.7636646330541391,0.0,0.7636646330541391,0.0,0.7636646330541391,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,novg,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.24912654365786693,0.14732338113430615,0.24912654365786693,-0.10180316252356078,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,novp,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.14732338113430615,0.14732338113430615,0.14732338113430615,0.0,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
shock,full,nox,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.13362596483504294,0.14732338113430615,0.13362596483504294,0.013697416299263215,True,pass,Full directional magnitude minus ablation directional magnitude.
shock,full,one_shot_off,open,positive,carrier,q_neg,post_all,0.14732338113430615,0.0,0.14732338113430615,0.0,0.14732338113430615,True,pass,Full directional magnitude minus ablation directional magnitude.
treat,full,novg,covered,positive,carrier,h_opp,post_11_30,0.008007748425983556,0.02278459600915123,0.008007748425983556,0.02278459600915123,-0.014776847583167673,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
treat,full,novp,covered,positive,carrier,h_opp,post_11_30,0.008007748425983556,0.01285254670602387,0.008007748425983556,0.01285254670602387,-0.004844798280040315,False,diagnostic,Full directional magnitude minus ablation directional magnitude.
