protocol,ablation,check,status,value,threshold_or_expectation,note
shock,full,schema_required_columns,pass,1.0,all required protocol-specific columns present,
shock,novg,schema_required_columns,pass,1.0,all required protocol-specific columns present,
shock,novp,schema_required_columns,pass,1.0,all required protocol-specific columns present,
shock,nox,schema_required_columns,pass,1.0,all required protocol-specific columns present,
shock,one_shot_off,schema_required_columns,pass,1.0,all required protocol-specific columns present,
treat,full,schema_required_columns,pass,1.0,all required protocol-specific columns present,
treat,novg,schema_required_columns,pass,1.0,all required protocol-specific columns present,
treat,novp,schema_required_columns,pass,1.0,all required protocol-specific columns present,
treat,nox,schema_required_columns,pass,1.0,all required protocol-specific columns present,
treat,one_shot_off,schema_required_columns,pass,1.0,all required protocol-specific columns present,
shock,full,p_target_delta_post_11_30,pass,-0.17668965517241378,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.2025, -0.1497], directional_p=0.000050, sign_consistency=0.9600"
shock,full,p_target_delta_post_31_plus,direction_ok,-0.0011896551724137993,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0341, 0.0307], directional_p=0.471226, sign_consistency=0.5000"
shock,full,p_target_delta_post_all,pass,-0.1089753694581281,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.1351, -0.0816], directional_p=0.000050, sign_consistency=0.8400"
shock,novg,p_target_delta_post_11_30,fail,0.001862068965517242,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0042, 0.0089], directional_p=0.680166, sign_consistency=0.1200"
shock,novg,p_target_delta_post_31_plus,fail,0.000862068965517242,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0031, 0.0047], directional_p=0.652767, sign_consistency=0.1200"
shock,novg,p_target_delta_post_all,fail,0.002147783251231527,delta < 0 for shock/negative; delta > 0 for treat/positive; pass requires directional p<=0.05 and CI excluding zero,"ci=[-0.0018, 0.0058], directional_p=0.859707, sign_consistency=0.1200"
