protocol,ablation,target_path,carrier_metric,post_window,n_seeds,pre_mean,post_mean,delta_post_minus_pre_mean,delta_ci_low,delta_ci_high,directional_sign_consistency,directional_sign_flip_p
shock,full,open,h_risk,post_1_3,50,0.27115301824797505,0.3198353099760695,0.04868229172809448,0.04693664726644087,0.050455013586376246,1.0,4.999750012499375e-05
shock,full,open,h_risk,post_4_10,50,0.27115301824797505,0.3311221986747392,0.0599691804267642,0.05852816528755931,0.06141396918452142,1.0,4.999750012499375e-05
shock,full,open,h_risk,post_11_30,50,0.27115301824797505,0.3132872025032157,0.042134184255240674,0.0407049393368187,0.043652924406033564,1.0,4.999750012499375e-05
shock,full,open,h_risk,post_31_plus,50,0.27115301824797505,0.2860033148122259,0.014850296564250938,0.013141814292094467,0.01648394615631877,1.0,4.999750012499375e-05
shock,full,open,h_risk,post_all,50,0.27115301824797505,0.2973845331948568,0.026231514946881803,0.024815579702125966,0.027632517716068224,1.0,4.999750012499375e-05
shock,full,open,q_neg,post_1_3,50,0.0,1.198716340565635,1.198716340565635,1.193264033951665,1.203989818202899,1.0,4.999750012499375e-05
shock,full,open,q_neg,post_4_10,50,0.0,0.7636646330541391,0.7636646330541391,0.7555327353302629,0.7716243400859151,1.0,4.999750012499375e-05
shock,full,open,q_neg,post_11_30,50,0.0,0.19897933078370525,0.19897933078370525,0.19494451247859493,0.20297223380353735,1.0,4.999750012499375e-05
shock,full,open,q_neg,post_31_plus,50,0.0,0.006751889467056844,0.006751889467056844,0.006447078509104387,0.007063462694707379,1.0,4.999750012499375e-05
shock,full,open,q_neg,post_all,50,0.0,0.14732338113430615,0.14732338113430615,0.14656281720170403,0.14808620199347464,1.0,4.999750012499375e-05
shock,novg,open,h_risk,post_1_3,50,0.20767548013711548,0.26892330904440126,0.06124782890728584,0.06093719436302466,0.06152060300624527,1.0,4.999750012499375e-05
shock,novg,open,h_risk,post_4_10,50,0.20767548013711548,0.30129111130719133,0.0936156311700759,0.09285716264960536,0.0945611285433616,1.0,4.999750012499375e-05
shock,novg,open,h_risk,post_11_30,50,0.20767548013711548,0.2876114161618318,0.07993593602471631,0.07943254453904647,0.08046656273072035,1.0,4.999750012499375e-05
shock,novg,open,h_risk,post_31_plus,50,0.20767548013711548,0.2356744225780535,0.02799894244093807,0.027574475904767817,0.028410714380583173,1.0,4.999750012499375e-05
shock,novg,open,h_risk,post_all,50,0.20767548013711548,0.2585001847520331,0.05082470461491769,0.05045014077244169,0.0511843015464224,1.0,4.999750012499375e-05
shock,novg,open,q_neg,post_1_3,50,0.0,1.2558191115469994,1.2558191115469994,1.2558191115469994,1.2558191115469994,1.0,4.999750012499375e-05
shock,novg,open,q_neg,post_4_10,50,0.0,0.8475407994596218,0.8475407994596218,0.8475407994596218,0.8475407994596218,1.0,4.999750012499375e-05
shock,novg,open,q_neg,post_11_30,50,0.0,0.31251721482186867,0.31251721482186867,0.31251721482186867,0.31251721482186867,1.0,4.999750012499375e-05
shock,novg,open,q_neg,post_31_plus,50,0.0,0.037206770718874,0.037206770718874,0.037206770718874,0.037206770718874,1.0,4.999750012499375e-05
shock,novg,open,q_neg,post_all,50,0.0,0.24912654365786693,0.24912654365786693,0.24912654365786693,0.24912654365786693,1.0,4.999750012499375e-05
shock,novp,open,h_risk,post_1_3,50,0.27115301824797505,0.3198353099760695,0.04868229172809448,0.04698164986551277,0.05042191991860319,1.0,4.999750012499375e-05
shock,novp,open,h_risk,post_4_10,50,0.27115301824797505,0.3311221986747392,0.0599691804267642,0.058597975053020966,0.06142618774670598,1.0,4.999750012499375e-05
shock,novp,open,h_risk,post_11_30,50,0.27115301824797505,0.3132872025032157,0.042134184255240674,0.04067221814736917,0.043645014684609185,1.0,4.999750012499375e-05
shock,novp,open,h_risk,post_31_plus,50,0.27115301824797505,0.2860033148122259,0.014850296564250938,0.013242792721423858,0.016511545262117622,1.0,4.999750012499375e-05
shock,novp,open,h_risk,post_all,50,0.27115301824797505,0.2973845331948568,0.026231514946881803,0.024800512011470474,0.027651735729879248,1.0,4.999750012499375e-05
shock,novp,open,q_neg,post_1_3,50,0.0,1.198716340565635,1.198716340565635,1.1933118371640379,1.2037244351576257,1.0,4.999750012499375e-05
shock,novp,open,q_neg,post_4_10,50,0.0,0.7636646330541391,0.7636646330541391,0.7556599578090737,0.7715325690118124,1.0,4.999750012499375e-05
shock,novp,open,q_neg,post_11_30,50,0.0,0.19897933078370525,0.19897933078370525,0.19499886243127357,0.20309305617083753,1.0,4.999750012499375e-05
shock,novp,open,q_neg,post_31_plus,50,0.0,0.006751889467056844,0.006751889467056844,0.006453703005335658,0.0070499182409443474,1.0,4.999750012499375e-05
shock,novp,open,q_neg,post_all,50,0.0,0.14732338113430615,0.14732338113430615,0.1465745041793394,0.14808976617374675,1.0,4.999750012499375e-05
shock,nox,open,h_risk,post_1_3,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,nox,open,h_risk,post_4_10,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,nox,open,h_risk,post_11_30,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,nox,open,h_risk,post_31_plus,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,nox,open,h_risk,post_all,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,nox,open,q_neg,post_1_3,50,0.0,1.136581544282011,1.136581544282011,1.1297519073857443,1.1437018801191787,1.0,4.999750012499375e-05
shock,nox,open,q_neg,post_4_10,50,0.0,0.5527076062214342,0.5527076062214342,0.5448595855799196,0.5604207651429739,1.0,4.999750012499375e-05
shock,nox,open,q_neg,post_11_30,50,0.0,0.09762911856964264,0.09762911856964264,0.09539311741539476,0.0998903841670042,1.0,4.999750012499375e-05
shock,nox,open,q_neg,post_31_plus,50,0.0,0.0025050180852741887,0.0025050180852741887,0.002418080985974114,0.00259769213309545,1.0,4.999750012499375e-05
shock,nox,open,q_neg,post_all,50,0.0,0.13362596483504294,0.13362596483504294,0.13292305513841984,0.13436476711865994,1.0,4.999750012499375e-05
shock,one_shot_off,open,h_risk,post_1_3,50,0.27115301824797505,0.28228141507864796,0.011128396830672939,0.0076250410294011655,0.014639717954114976,0.8,4.999750012499375e-05
shock,one_shot_off,open,h_risk,post_4_10,50,0.27115301824797505,0.28450000519672936,0.013346986948754344,0.011123305514663331,0.01567482507261497,0.98,4.999750012499375e-05
shock,one_shot_off,open,h_risk,post_11_30,50,0.27115301824797505,0.2831680188824282,0.012015000634453205,0.010233405061726777,0.013865588058439321,0.98,4.999750012499375e-05
shock,one_shot_off,open,h_risk,post_31_plus,50,0.27115301824797505,0.28351784108266254,0.012364822834687539,0.010566186401342199,0.014210335708739226,0.98,4.999750012499375e-05
shock,one_shot_off,open,h_risk,post_all,50,0.27115301824797505,0.2834690181229623,0.012315999874987332,0.010837133847904239,0.013847382325283061,1.0,4.999750012499375e-05
shock,one_shot_off,open,q_neg,post_1_3,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shock,one_shot_off,open,q_neg,post_4_10,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
