protocol,ablation,target_path,expected_direction,post_window,n_seeds,pre_mean,post_mean,delta_post_minus_pre_mean,delta_ci_low,delta_ci_high,directional_sign_consistency,directional_sign_flip_p
shock,full,open,negative,post_1_3,3,0.44827586206896547,0.1111111111111111,-0.33716475095785436,-0.5517241379310345,-0.04597701149425287,1.0,0.2222222222222222
shock,full,open,negative,post_4_10,3,0.44827586206896547,0.0,-0.44827586206896547,-0.5517241379310345,-0.37931034482758613,1.0,0.2222222222222222
shock,full,open,negative,post_11_30,3,0.44827586206896547,0.19999999999999998,-0.24827586206896549,-0.3017241379310345,-0.21379310344827585,1.0,0.2222222222222222
shock,full,open,negative,post_31_plus,3,0.44827586206896547,0.4583333333333333,0.010057471264367845,-0.17672413793103448,0.17068965517241386,0.3333333333333333,0.6666666666666666
shock,full,open,negative,post_all,3,0.44827586206896547,0.3238095238095238,-0.1244663382594417,-0.2660098522167488,-0.007881773399014746,1.0,0.2222222222222222
treat,full,covered,positive,post_1_3,3,0.5517241379310344,0.6666666666666666,0.11494252873563217,-0.2528735632183908,0.37931034482758613,0.6666666666666666,0.4444444444444444
treat,full,covered,positive,post_4_10,3,0.5517241379310344,0.6666666666666666,0.11494252873563215,-0.049261083743842415,0.270935960591133,0.6666666666666666,0.3333333333333333
treat,full,covered,positive,post_11_30,3,0.5517241379310344,0.7000000000000001,0.1482758620689655,0.02931034482758621,0.3017241379310345,1.0,0.2222222222222222
treat,full,covered,positive,post_31_plus,3,0.5517241379310344,0.6833333333333332,0.13160919540229887,0.02931034482758621,0.3017241379310345,1.0,0.2222222222222222
treat,full,covered,positive,post_all,3,0.5517241379310344,0.6857142857142856,0.13399014778325122,0.03645320197044333,0.280295566502463,1.0,0.2222222222222222
