protocol,ablation,target_path,expected_direction,trial,rel_trial,n_trials,p_open,p_covered,p_target,p_timeout,mean_commit_latency,mean_junction_pause_duration,mean_h_risk,mean_h_opp,mean_q_neg,mean_q_pos,mean_X_risk,mean_X_opp
shock,full,open,negative,1,-29,50,0.34,0.66,0.34,0.18,4.44,5.44,0.08811765987320634,0.08316276801333332,0.0,0.0,0.27634920634920634,0.2861904761904762
shock,full,open,negative,2,-28,50,0.44,0.56,0.44,0.26,4.82,5.82,0.1927599563079432,0.19455861131632615,0.0,0.0,0.2828730158730159,0.2869047619047619
shock,full,open,negative,3,-27,50,0.56,0.44,0.56,0.16,4.24,5.24,0.2428469905246067,0.24496221520203776,0.0,0.0,0.28904761904761905,0.28580952380952385
shock,full,open,negative,4,-26,50,0.36,0.64,0.36,0.22,4.38,5.38,0.266676313194527,0.266995471871372,0.0,0.0,0.27823809523809523,0.2860793650793651
shock,full,open,negative,5,-25,50,0.4,0.6,0.4,0.06,4.12,5.12,0.2730205854479265,0.2771826848764728,0.0,0.0,0.28,0.28565079365079366
shock,full,open,negative,6,-24,50,0.38,0.62,0.38,0.22,4.56,5.56,0.2768958023530473,0.2819837427889776,0.0,0.0,0.2793333333333333,0.2863809523809524
shock,full,open,negative,7,-23,50,0.48,0.52,0.48,0.14,4.5,5.5,0.27905422767237487,0.2845015895958547,0.0,0.0,0.2841111111111111,0.2863650793650794
shock,full,open,negative,8,-22,50,0.44,0.56,0.44,0.22,4.78,5.78,0.2826186082995312,0.28577317678966346,0.0,0.0,0.28290476190476194,0.2868095238095238
shock,full,open,negative,9,-21,50,0.44,0.56,0.44,0.18,4.28,5.28,0.28308532926585483,0.28630621404416623,0.0,0.0,0.2818095238095238,0.2858730158730159
shock,full,open,negative,10,-20,50,0.4,0.6,0.4,0.2,4.62,5.62,0.2829628140778025,0.28635933059279134,0.0,0.0,0.28150793650793654,0.28655555555555556
shock,full,open,negative,11,-19,50,0.48,0.52,0.48,0.16,4.26,5.26,0.28215908007175977,0.28646586298263405,0.0,0.0,0.28446031746031747,0.28595238095238096
