protocol,ablation,target_path,expected_direction,window,metric,n_seeds,mean,ci_low,ci_high
shock,full,open,negative,pre,X_opp,50,0.28660869474882744,0.28651247564301824,0.2867030543360496
shock,full,open,negative,shock,X_opp,50,0.28333333333333327,0.28333333333333327,0.28333333333333327
shock,full,open,negative,post_1_3,X_opp,50,0.2820335581601061,0.2815339141972578,0.2825293873470441
shock,full,open,negative,post_4_10,X_opp,50,0.27562988505747127,0.2754758620689655,0.2757965517241379
shock,full,open,negative,post_11_30,X_opp,50,0.28461563238570675,0.2843775664582615,0.28485384850365897
shock,full,open,negative,post_31_plus,X_opp,50,0.2866265363208609,0.2865348778450543,0.2867190648769095
shock,full,open,negative,post_all,X_opp,50,0.285266646349706,0.2851923858146411,0.28534373112001443
shock,full,open,negative,pre,X_risk,50,0.28343414553493407,0.28216661732362763,0.284666848298019
shock,full,open,negative,shock,X_risk,50,0.31666666666666665,0.31666666666666665,0.31666666666666665
shock,full,open,negative,post_1_3,X_risk,50,0.25407550862450246,0.2508052605779154,0.2575293785014005
shock,full,open,negative,post_4_10,X_risk,50,0.22746108374384236,0.22670231527093596,0.2283285837438424
shock,full,open,negative,post_11_30,X_risk,50,0.27019784719766193,0.2692139224424547,0.27115739280309614
shock,full,open,negative,post_31_plus,X_risk,50,0.28338114676332243,0.28221827747779915,0.28448601381915717
shock,full,open,negative,post_all,X_risk,50,0.2753485121555857,0.27463023762103184,0.2760953430114494
shock,full,open,negative,pre,commit_latency,50,4.472413793103448,4.4172413793103456,4.526224137931035
shock,full,open,negative,shock,commit_latency,50,3.0,3.0,3.0
shock,full,open,negative,post_1_3,commit_latency,50,2.62,2.466666666666667,2.78
shock,full,open,negative,post_4_10,commit_latency,50,1.1057142857142856,1.0771428571428572,1.1342857142857141
shock,full,open,negative,post_11_30,commit_latency,50,3.52,3.4189999999999996,3.6229999999999993
shock,full,open,negative,post_31_plus,commit_latency,50,4.482,4.4305,4.531999999999999
shock,full,open,negative,post_all,commit_latency,50,3.789714285714286,3.7531428571428567,3.826
shock,full,open,negative,pre,h_opp,50,0.27377181917344123,0.27358891524568596,0.27395112839889907
shock,full,open,negative,shock,h_opp,50,0.2861572505663175,0.2858272619707275,0.286474239064616
shock,full,open,negative,post_1_3,h_opp,50,0.2848830923210043,0.28462195484879105,0.2851355481489591
shock,full,open,negative,post_4_10,h_opp,50,0.2772834536312605,0.2771377891066072,0.27743460122944336
shock,full,open,negative,post_11_30,h_opp,50,0.2837808019487547,0.28353826905035745,0.28401782948742516
shock,full,open,negative,post_31_plus,h_opp,50,0.28662510794040275,0.2865388992642262,0.286709316339153
shock,full,open,negative,post_all,h_opp,50,0.2852337299712671,0.28515672996573327,0.28530976815067155
shock,full,open,negative,pre,h_risk,50,0.27115301824797505,0.26992953345137066,0.27233920431941716
shock,full,open,negative,shock,h_risk,50,0.2861928769552639,0.28242062662254885,0.29009176889395283
shock,full,open,negative,post_1_3,h_risk,50,0.3198353099760695,0.31840131356580126,0.3212422686893386
shock,full,open,negative,post_4_10,h_risk,50,0.3311221986747392,0.33011581708796245,0.33225207007615226
