test_family,metric,n_tests,n_positive,n_negative,mean_effect_size,median_effect_size,min_p_fdr_bh
ablation_vs_reference_within_seed,pause_ticks_mean,4,0,3,-8.33859572695914,-0.6992233140306175,8.196311495900614e-05
ablation_vs_reference_within_seed,raw_idphi_mean,4,0,3,-4.562867795234114,-0.6635541429048905,8.196311495900614e-05
ablation_vs_reference_within_seed,reorientation_count_mean,4,0,3,-2.827287942974313,-0.6409319154128011,8.196311495900614e-05
ablation_vs_reference_within_seed,reward_mean,4,1,2,-0.1657599493755688,-0.00179020793431175,8.196311495900614e-05
ablation_vs_reference_within_seed,total_reward_mean,4,1,2,-0.1657599493755688,-0.00179020793431175,8.196311495900614e-05
ablation_vs_reference_within_seed,vte_rate,4,1,2,-0.8859305422577909,-0.16394985892516425,8.196311495900614e-05
ablation_vs_reference_within_seed,z_idphi_mean,4,0,3,-0.077747760367945,-0.0912504960483911,1.0
vte_binary_within_seed,pause_ticks,12,12,0,11.83342889697552,12.678312853073493,8.196311495900614e-05
vte_binary_within_seed,raw_idphi,12,12,0,14.260632106516672,15.45307959718464,8.196311495900614e-05
vte_binary_within_seed,reorientation_count,12,12,0,13.883662184914423,15.490345762936965,8.196311495900614e-05
vte_binary_within_seed,reward,12,9,3,0.08079920503282471,0.149582802068128,0.0004032056461693
vte_binary_within_seed,total_reward,12,9,3,0.08079920503282471,0.149582802068128,0.0007936111130951
vte_binary_within_seed,z_idphi,12,12,0,21.426752497617013,21.52023339975643,8.196311495900614e-05
