exposure_q_bias,run_dir,n_seeds,n_trials_total,p_open_total,p_covered_total,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_commit_bound_total,p_commit_timeout_total,covered_rate_mean_across_seeds,covered_rate_std_across_seeds,seed_mean_commit_latency_mean,seed_mean_commit_latency_std,seed_mean_pause_mean,seed_mean_pause_std,seed_mean_reorientation_mean,seed_mean_reorientation_std
0.0,logs\stage3\stage3_1a\bias_00,50,5000,0.584,0.416,0.6964,4.5,5.5,1.7474,0.8172,0.1828,0.4159999999999999,0.0463033476111609,4.499999999999999,0.11117553687749838,5.5,0.11117553687749838,1.7474,0.14586034416523225
0.1,logs\stage3\stage3_1a\bias_01,50,5000,0.5524,0.4476,0.6964,4.491,5.491,1.7454,0.817,0.183,0.4476,0.04701318963865354,4.4910000000000005,0.11653754759733019,5.4910000000000005,0.11653754759733019,1.7453999999999998,0.12139538706227679
0.2,logs\stage3\stage3_1a\bias_02,50,5000,0.5084,0.4916,0.6964,4.4942,5.4942,1.7478,0.8148,0.1852,0.49160000000000004,0.04410714227877386,4.494199999999999,0.11818781663098776,5.494199999999999,0.11818781663098776,1.7477999999999998,0.14170800965365365
0.25,logs\stage3\stage3_1a\bias_025,50,5000,0.4816,0.5184,0.6964,4.4764,5.4764,1.7342,0.818,0.182,0.5184000000000001,0.038541406305426906,4.476399999999999,0.12532773037121514,5.4764,0.12532773037121514,1.7342,0.13682236659260064
0.3,logs\stage3\stage3_1a\bias_03,50,5000,0.436,0.564,0.6964,3.4252,4.4252,1.1964,0.8794,0.1206,0.564,0.05176871642217914,3.4252000000000002,0.16578588600963595,4.4252,0.16578588600963595,1.1964000000000001,0.16221911108127796
0.35,logs\stage3\stage3_1a\bias_035,50,5000,0.4134,0.5866,0.6964,3.4232,4.4232,1.1952,0.879,0.121,0.5866,0.052291873173563014,3.4232,0.18835540873571965,4.4232,0.1883554087357196,1.1952,0.17133872883852033
0.4,logs\stage3\stage3_1a\bias_04,50,5000,0.3888,0.6112,0.6964,3.4136,4.4136,1.1832,0.8826,0.1174,0.6111999999999999,0.05124997560975029,3.4136,0.17015005142520528,4.4136,0.1701500514252053,1.1832,0.16175833827039643
0.45,logs\stage3\stage3_1a\bias_045,50,5000,0.3102,0.6898,0.6964,3.1616,4.1616,1.0452,1.0,0.0,0.6898000000000001,0.039267798512267006,3.1615999999999995,0.13403521925225476,4.1616,0.1340352192522547,1.0452,0.13327025174434093
0.5,logs\stage3\stage3_1a\bias_05,50,5000,0.3174,0.6826,0.6964,2.472,3.472,0.7096,1.0,0.0,0.6826000000000001,0.03948721312019879,2.4720000000000004,0.0511859355682789,3.472,0.0511859355682789,0.7096000000000001,0.07456433463794872
0.6,logs\stage3\stage3_1a\bias_06,50,5000,0.2886,0.7114,0.6964,2.4512,3.4512,0.676,1.0,0.0,0.7114,0.0419051309507559,2.4511999999999996,0.0481929455418529,3.4512,0.0481929455418529,0.6759999999999999,0.08014985963805552
