seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,35.0,65.0,0.35,0.65,0.71,3.42,4.42,1.13,1.0,91.0,9.0,0.91,0.09
43,100.0,34.0,66.0,0.34,0.66,0.72,2.88,3.88,0.78,1.0,94.0,6.0,0.94,0.06
44,100.0,31.0,69.0,0.31,0.69,0.68,3.6,4.6,1.26,1.0,89.0,11.0,0.89,0.11
45,100.0,34.0,66.0,0.34,0.66,0.71,3.5,4.5,1.31,1.0,86.0,14.0,0.86,0.14
46,100.0,42.0,58.0,0.42,0.58,0.75,3.46,4.46,1.21,1.0,87.0,13.0,0.87,0.13
47,100.0,30.0,70.0,0.3,0.7,0.68,3.18,4.18,1.01,1.0,90.0,10.0,0.9,0.1
48,100.0,37.0,63.0,0.37,0.63,0.72,3.44,4.44,1.21,1.0,86.0,14.0,0.86,0.14
49,100.0,36.0,64.0,0.36,0.64,0.7,3.12,4.12,0.91,1.0,90.0,10.0,0.9,0.1
50,100.0,31.0,69.0,0.31,0.69,0.73,3.6,4.6,1.42,1.0,82.0,18.0,0.82,0.18
51,100.0,33.0,67.0,0.33,0.67,0.69,3.36,4.36,1.1,1.0,91.0,9.0,0.91,0.09
52,100.0,36.0,64.0,0.36,0.64,0.79,3.34,4.34,1.16,1.0,88.0,12.0,0.88,0.12
53,100.0,37.0,63.0,0.37,0.63,0.67,3.7,4.7,1.35,1.0,88.0,12.0,0.88,0.12
54,100.0,33.0,67.0,0.33,0.67,0.74,3.94,4.94,1.71,1.0,77.0,23.0,0.77,0.23
55,100.0,30.0,70.0,0.3,0.7,0.69,3.16,4.16,0.95,1.0,95.0,5.0,0.95,0.05
56,100.0,42.0,58.0,0.42,0.58,0.68,3.66,4.66,1.46,1.0,85.0,15.0,0.85,0.15
57,100.0,36.0,64.0,0.36,0.64,0.71,3.48,4.48,1.24,1.0,84.0,16.0,0.84,0.16
58,100.0,40.0,60.0,0.4,0.6,0.67,3.52,4.52,1.18,1.0,89.0,11.0,0.89,0.11
59,100.0,39.0,61.0,0.39,0.61,0.73,3.64,4.64,1.32,1.0,84.0,16.0,0.84,0.16
60,100.0,40.0,60.0,0.4,0.6,0.75,3.58,4.58,1.37,1.0,83.0,17.0,0.83,0.17
61,100.0,30.0,70.0,0.3,0.7,0.58,3.22,4.22,1.0,1.0,93.0,7.0,0.93,0.07
62,100.0,28.0,72.0,0.28,0.72,0.69,3.46,4.46,1.25,1.0,86.0,14.0,0.86,0.14
63,100.0,33.0,67.0,0.33,0.67,0.71,3.38,4.38,1.2,1.0,87.0,13.0,0.87,0.13
64,100.0,29.0,71.0,0.29,0.71,0.65,3.64,4.64,1.48,1.0,84.0,16.0,0.84,0.16
65,100.0,37.0,63.0,0.37,0.63,0.73,3.08,4.08,0.92,1.0,91.0,9.0,0.91,0.09
66,100.0,37.0,63.0,0.37,0.63,0.67,3.36,4.36,1.16,1.0,87.0,13.0,0.87,0.13
67,100.0,42.0,58.0,0.42,0.58,0.7,3.36,4.36,1.08,1.0,86.0,14.0,0.86,0.14
68,100.0,37.0,63.0,0.37,0.63,0.73,3.36,4.36,1.12,1.0,88.0,12.0,0.88,0.12
69,100.0,30.0,70.0,0.3,0.7,0.66,3.4,4.4,1.24,1.0,90.0,10.0,0.9,0.1
70,100.0,36.0,64.0,0.36,0.64,0.72,3.32,4.32,1.22,1.0,85.0,15.0,0.85,0.15
71,100.0,36.0,64.0,0.36,0.64,0.77,3.38,4.38,1.19,1.0,91.0,9.0,0.91,0.09
72,100.0,34.0,66.0,0.34,0.66,0.71,3.52,4.52,1.25,1.0,90.0,10.0,0.9,0.1
73,100.0,49.0,51.0,0.49,0.51,0.68,3.32,4.32,1.16,1.0,89.0,11.0,0.89,0.11
74,100.0,19.0,81.0,0.19,0.81,0.73,3.34,4.34,1.04,1.0,90.0,10.0,0.9,0.1
75,100.0,31.0,69.0,0.31,0.69,0.64,3.48,4.48,1.32,1.0,85.0,15.0,0.85,0.15
76,100.0,37.0,63.0,0.37,0.63,0.76,3.48,4.48,1.3,1.0,84.0,16.0,0.84,0.16
77,100.0,33.0,67.0,0.33,0.67,0.68,3.48,4.48,1.33,1.0,83.0,17.0,0.83,0.17
78,100.0,28.0,72.0,0.28,0.72,0.71,3.16,4.16,0.89,1.0,95.0,5.0,0.95,0.05
