trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,67,,,0,0,0,0,common,1.0,0.5,0.6931471803599453,0.15,0.0,0.5260663507109005,0.5433789954337899,,,EXPLOIT
2,67,,,0,0,0,0,common,1.0,0.32499999999999996,0.6354546081677415,0.20249999999999999,0.0,0.5493262427328857,0.5794962364913165,,,EXPLOIT
3,67,,,0,0,0,0,common,1.0,0.21124999999999994,0.5505918514747256,0.20512499999999995,0.0,0.570208762497792,0.6100329171214658,,,EXPLOIT
4,67,,,0,0,0,0,common,1.0,0.13731249999999995,0.4860578635263486,0.18478124999999992,0.0,0.5890597666503006,0.6361884525043351,,,EXPLOIT
5,67,,,0,0,0,0,common,1.0,0.08925312499999993,0.44306839216170646,0.15612281249999993,0.0,0.6061611288293314,0.65884152052499,,,EXPLOIT
6,67,,,0,0,0,0,common,1.0,0.05801453125,0.4153513309355774,0.12669032812499995,0.0,0.621744881595395,0.678650554588017,,,EXPLOIT
7,67,,,0,0,0,0,common,1.0,0.03770944531249998,0.39758226008029796,0.09999606328124995,0.0,0.6360037662619006,0.6961186809978029,,,EXPLOIT
8,67,,,0,0,0,0,common,1.0,0.024511139453124997,0.3861724440969302,0.07735058613281245,0.0,0.6490992118689946,0.7116369601865663,,,EXPLOIT
9,67,,,0,0,0,0,common,1.0,0.015932240644531248,0.37882401181478564,0.05892508248632809,0.0,0.661167445672263,0.7255139427248888,,,EXPLOIT
10,67,,,0,0,0,0,common,0.0,0.9896440435810547,0.37407846261983335,0.3381407708147461,0.0,0.6723242264513416,0.7379963399676884,,,EXPLOIT
11,67,,,0,0,0,0,common,1.0,0.3567313716723144,0.6537212100932841,0.3437179510720166,0.0,0.6826685496483146,0.7492837770280747,,,EXPLOIT
12,67,,,0,0,0,0,common,1.0,0.23187539158700432,0.567684884861175,0.3101651832265129,0.0,0.6922855757947949,0.7595395145573263,,,EXPLOIT
13,67,,,0,0,0,0,common,0.0,0.8492809954684472,0.4979987969242545,0.47189992689909316,0.0,0.7012489657746,0.768898368448788,,,EXPLOIT
14,67,,,0,0,0,0,common,0.0,0.5520326470544907,0.6877615671463078,0.4959397429457124,0.0,0.7096227585168867,0.7774726461630808,,,EXPLOIT
15,67,,,0,1,1,0,common,0.0,0.5,0.6548188758336828,0.4971578200619987,0.0,0.7174628924103941,0.7853566559503021,,,EXPLOIT
16,67,,,0,1,1,0,common,0.0,0.325,0.6908646536133191,0.44551047404339905,0.0,0.7248184468894128,0.7926301738076538,,,EXPLOIT
17,67,,,0,0,0,0,common,1.0,0.641178779414581,0.6514188283231473,0.5042109656547537,0.0,0.706540468116398,0.7739642699918007,,,EXPLOIT
18,67,,,0,0,0,0,common,1.0,0.4167662066194777,0.4777501406961644,0.47797753794417086,0.0,0.7145751044709909,0.782127411905583,,,EXPLOIT
19,67,,,0,0,0,0,common,1.0,0.2708980343026606,0.35048398955013216,0.41585368685171775,0.0,0.7221074477974564,0.789648172031572,,,EXPLOIT
