trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,61,,,0,1,1,0,common,0.0,0.5,0.6931471803599453,0.15,0.0,0.5260663507109005,0.0,,,EXPLOIT
2,61,,,0,1,1,0,common,0.0,0.325,0.6354546081677416,0.2025,0.0,0.5493262427328857,0.0,,,EXPLOIT
3,61,,,0,1,1,0,common,0.0,0.21125000000000002,0.5505918514747258,0.205125,0.0,0.570208762497792,0.0,,,EXPLOIT
4,61,,,0,1,1,0,common,0.0,0.1373125,0.4860578635263487,0.18478124999999998,0.0,0.5890597666503006,0.0,,,EXPLOIT
5,61,,,0,0,0,0,common,1.0,0.5,0.44306839216170657,0.279346875,0.0,0.6061611288293314,0.0,,,EXPLOIT
6,61,,,0,0,0,0,common,0.0,0.675,0.29700771108015156,0.3980428125,0.0,0.621744881595395,0.0,,,EXPLOIT
7,61,,,0,0,0,0,common,0.0,0.4387500000000001,0.49780701073804057,0.41025496875,0.0,0.6360037662619006,0.0,,,EXPLOIT
8,61,,,0,0,0,0,common,0.0,0.28518750000000004,0.6218842065732162,0.37273472812499997,0.0,0.6490992118689946,0.0,,,EXPLOIT
9,61,,,0,0,0,0,common,1.0,0.814628125,0.6750054539215129,0.5053027471875,0.0,0.6199612001357326,0.0,,,EXPLOIT
10,61,,,0,1,1,0,common,0.0,0.089253125,0.4694670105045453,0.38048786053125,0.0,0.6343689093443354,0.0,,,EXPLORE
11,61,,,0,1,1,0,common,0.0,0.05801453125,0.4415245530347408,0.283745861746875,0.0,0.6475953744748558,0.0,,,EXPLOIT
12,61,,,0,1,1,0,common,0.0,0.037709445312500006,0.42347711605677335,0.2099349368165625,0.0,0.6597795536792638,0.0,,,EXPLOIT
13,61,,,0,0,0,0,common,1.0,0.52950828125,0.4118368252326222,0.30580694014659376,0.0,0.6710394324486034,0.0,,,EXPLOIT
14,61,,,0,0,0,0,common,1.0,0.34418038281249996,0.2641377651488341,0.31731897294636563,0.0,0.681475836463299,0.0,,,EXPLOIT
15,61,,,0,0,0,0,common,1.0,0.22371724882812494,0.18990648978398153,0.2892384557108934,0.0,0.6911754418113739,0.0,,,EXPLOIT
16,61,,,0,0,0,0,common,1.0,0.14541621173828123,0.1513216451784772,0.24609178251910974,0.0,0.7002131730128619,0.0,,,EXPLOIT
17,61,,,0,0,0,0,common,1.0,0.09452053762988277,0.12998433085735583,0.20062040905234163,0.0,0.7086541293419317,0.0,,,EXPLOIT
18,61,,,0,0,0,0,common,0.0,0.9385616505405762,0.11756569567620255,0.422002781498812,0.0,0.7165551442607951,0.0,,,EXPLOIT
19,61,,,0,0,0,0,common,1.0,0.38993492714862543,0.2971522959806659,0.412382425193756,0.0,0.7239660569811598,0.0,,,EXPLOIT
20,61,,,0,1,1,0,common,1.0,0.975488860546875,0.20651610206220827,0.5813143557996916,0.0,0.705580611608237,0.0,,,EXPLOIT
21,61,,,0,0,0,0,common,0.0,0.7465422973533935,0.47002977866011275,0.6308827382658021,0.0,0.6847961707785817,0.0,,,EXPLOIT
22,61,,,0,1,1,0,common,0.0,0.3659322406445312,0.6654633034676871,0.5513975889794208,0.0,0.6611116986123141,0.0,,,EXPLOIT
23,61,,,0,0,0,0,common,0.0,0.48525249327970577,0.584244821078554,0.5315540602695062,0.0,0.6338761965462704,0.0,,,EXPLOIT
24,61,,,0,1,1,0,common,0.0,0.2378559564189453,0.6812598444382759,0.44344462911433796,0.0,0.647142269123363,0.0,,,EXPLOIT
