trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,62,,,0,1,1,0,common,0.0,0.5,0.6931471803599453,0.15,0.0,0.0,0.5433789954337899,,,EXPLOIT
2,62,,,0,0,0,0,common,1.0,0.5,0.6354546081677416,0.255,0.0,0.0,0.5794962364913165,,,EXPLORE
3,62,,,0,1,1,0,common,0.0,0.325,0.4973599657364365,0.276,0.0,0.0,0.6100329171214658,,,EXPLORE
4,62,,,0,1,1,0,common,0.0,0.21125000000000002,0.3963147262721458,0.256575,0.0,0.0,0.6361884525043351,,,EXPLORE
5,62,,,0,0,0,0,common,1.0,0.32499999999999996,0.3343460689263939,0.2771025,0.0,0.0,0.65884152052499,,,EXPLORE
6,62,,,0,0,0,0,common,0.0,0.7887500000000001,0.25044374811925885,0.43059675,0.0,0.0,0.678650554588017,,,EXPLORE
7,62,,,0,0,0,0,common,1.0,0.4873124999999999,0.4747159761359132,0.447611475,0.0,0.0,0.6961186809978029,,,EXPLORE
8,62,,,0,0,0,0,common,0.0,0.683246875,0.32775622656727055,0.5183020949999999,0.0,0.0,0.6561034018727876,,,EXPLORE
9,62,,,0,0,0,0,common,0.0,0.44411046875000004,0.5352252901814389,0.49604460712499987,0.0,0.0,0.67624677263884,,,EXPLORE
10,62,,,0,1,1,0,common,0.0,0.1373125,0.6493450108067065,0.38842497498749984,0.0,0.0,0.6939916398206352,,,EXPLORE
11,62,,,0,0,0,0,common,0.0,0.28867180468750003,0.6195185980499354,0.3584990238974999,0.0,0.0,0.7097415717273394,,,EXPLORE
12,62,,,0,0,0,0,common,1.0,0.812363326953125,0.6741569481699969,0.49465831481418737,0.0,0.0,0.7238144069865298,,,EXPLORE
13,62,,,0,1,1,0,common,0.0,0.089253125,0.4681488626645643,0.3730367578699312,0.0,0.0,0.7364638709340466,,,EXPLORE
14,62,,,0,0,0,0,common,1.0,0.5280361625195312,0.44021168336797023,0.4195365792648112,0.0,0.0,0.7478949654236443,,,EXPLORE
15,62,,,0,1,1,0,common,1.0,0.94198546875,0.28735786113972894,0.5762712461103678,0.0,0.0,0.720431013395564,,,EXPLORE
16,62,,,0,1,1,0,common,0.0,0.38770944531249996,0.5669163076361915,0.5197027058710074,0.0,0.0,0.6866348497731747,,,EXPLORE
17,62,,,0,0,0,0,common,1.0,0.3432235056376953,0.44841052795120295,0.4667589458010138,0.0,0.0,0.7031983641479848,,,EXPLORE
18,62,,,0,1,1,0,common,0.0,0.252011139453125,0.34470973667235655,0.4023346038966471,0.0,0.0,0.717957196841522,,,EXPLORE
19,62,,,0,0,0,0,common,0.0,0.776904721335498,0.27696800178362635,0.5147056391283024,0.0,0.0,0.6835548705751864,,,EXPLORE
20,62,,,0,1,1,0,common,0.0,0.16380724064453123,0.5051804652384659,0.409436119583171,0.0,0.0,0.7004646808776288,,,EXPLORE
21,62,,,0,0,0,0,common,0.0,0.5049880688680737,0.45400125341735736,0.4381017043686418,0.0,0.0,0.7155146438248652,,,EXPLORE
22,62,,,0,1,1,0,common,0.0,0.1064747064189453,0.6036799676428988,0.33861360498373283,0.0,0.0,0.7289949563268049,,,EXPLORE
23,62,,,0,0,0,0,common,1.0,0.6717577552357521,0.575031249739264,0.4385568500593386,0.0,0.0,0.7411384268997069,,,EXPLORE
24,62,,,0,0,0,0,common,1.0,0.43664254090323884,0.37026334580680387,0.4379825573125087,0.0,0.0,0.7521339935483062,,,EXPLORE
25,62,,,0,0,0,0,common,1.0,0.28381765158710526,0.2534359536590738,0.3917330855948876,0.0,0.0,0.7621365925785852,,,EXPLORE
26,62,,,0,0,0,0,common,1.0,0.18448147353161848,0.1928738620811888,0.32955760197590683,0.0,0.0,0.7712744780810511,,,EXPLORE
27,62,,,0,0,0,0,common,1.0,0.119912957795552,0.1601127438177586,0.26666420872180036,0.0,0.0,0.77965472867683,,,EXPLORE
28,62,,,0,0,0,0,common,1.0,0.07794342256710884,0.14142696173282837,0.2100479728753929,0.0,0.0,0.7873674445288776,,,EXPLORE
29,62,,,0,0,0,0,common,1.0,0.05066322466862072,0.1303141355149362,0.16223254841336124,0.0,0.0,0.794488984189322,,,EXPLOIT
30,62,,,0,0,0,0,common,1.0,0.032931096034603424,0.12350624171459193,0.12344211269973389,0.0,0.0,0.80108448814031,,,EXPLOIT
31,62,,,0,0,0,0,common,0.0,0.9785947875775077,0.11925067468882734,0.379987915163066,0.0,0.0,0.807209865921875,,,EXPLOIT
32,62,,,0,0,0,0,common,1.0,0.3639133880746199,0.3113549770593008,0.3751655570365322,0.0,0.0,0.8129133753208675,,,EXPLORE
33,62,,,0,1,1,0,common,0.0,0.06920855917231444,0.22304311033588828,0.2833784576772668,0.0,0.0,0.8182368880923659,,,EXPLORE
34,62,,,0,0,0,0,common,1.0,0.23654370224850296,0.20857915026812585,0.2693280310486377,0.0,0.0,0.8232169124823572,,,EXPLORE
35,62,,,0,0,0,0,common,1.0,0.1537534064615269,0.16467715727484908,0.23465564367250444,0.0,0.0,0.8278854253769431,,,EXPLORE
36,62,,,0,0,0,0,common,0.0,0.9000602858000075,0.14049012285907775,0.4342770363107553,0.0,0.0,0.8322705541846268,,,EXPLORE
37,62,,,0,0,0,0,common,1.0,0.4149608142299951,0.3324479755704601,0.4284821696865272,0.0,0.0,0.8363971391839485,,,EXPLORE
38,62,,,0,0,0,0,common,1.0,0.26972452924949686,0.22858200495190648,0.3808548775554181,0.0,0.0,0.8402872000894477,,,EXPLORE
39,62,,,0,0,0,0,common,1.0,0.17532094401217302,0.17530909333692996,0.31919469749244456,0.0,0.0,0.8439603253435509,,,EXPLORE
40,62,,,0,0,0,0,common,1.0,0.11395861360791248,0.14647844764803675,0.25762387232708495,0.0,0.0,0.8474339986647166,,,EXPLORE
41,62,,,0,0,0,0,common,0.0,0.9259269011548569,0.12999491322803655,0.4581147809754165,0.0,0.0,0.8507238743413094,,,EXPLORE
42,62,,,0,0,0,0,common,1.0,0.398147514249343,0.31913382068016755,0.4401246009575944,0.0,0.0,0.8538440104174889,,,EXPLORE
43,62,,,0,0,0,0,common,1.0,0.258795884262073,0.22183829868785998,0.385725985948938,0.0,0.0,0.8568070670984573,,,EXPLORE
44,62,,,0,0,0,0,common,1.0,0.16821732477034745,0.1717461764646192,0.3204733875953608,0.0,0.0,0.8596244762805484,,,EXPLORE
45,62,,,0,0,0,0,common,0.0,0.8906587388992742,0.14448232567560804,0.49152899298653474,0.0,0.0,0.8623065869928327,,,EXPLORE
46,62,,,0,0,0,0,common,1.0,0.4210718197154717,0.3373621854514124,0.4703918410052158,0.0,0.0,0.8648627906510428,,,EXPLORE
47,62,,,0,0,0,0,common,1.0,0.27369668281505666,0.23107104731391837,0.41138329354816805,0.0,0.0,0.867301629319019,,,EXPLORE
48,62,,,0,0,0,0,common,1.0,0.17790284382978683,0.17661909860240887,0.3413391586326536,0.0,0.0,0.8696308896076954,,,EXPLORE
49,62,,,0,0,0,0,common,0.0,0.8843631515106386,0.14720979736075812,0.5042463564960491,0.0,0.0,0.8619513555229574,,,EXPLORE
50,62,,,0,0,0,0,common,1.0,0.42516395151808495,0.34067456059959966,0.4805216350026598,0.0,0.0,0.8645240725584823,,,EXPLORE
51,62,,,0,1,1,0,common,0.0,0.044985563462004385,0.23274911436786322,0.34986081354046317,0.0,0.0,0.8669783152935601,,,EXPLORE
52,62,,,0,1,1,0,common,0.0,0.029240616250302852,0.22294812746765202,0.2536747543534151,0.0,0.0,0.869321967496451,,,EXPLORE
53,62,,,0,0,0,0,common,1.0,0.27635656848675527,0.21674780333893526,0.2604792985934171,0.0,0.0,0.8715622287850192,,,EXPLORE
54,62,,,0,0,0,0,common,1.0,0.17963176951639093,0.16462875835895086,0.23622503987030924,0.0,0.0,0.8737056872670448,,,EXPLORE
55,62,,,0,0,0,0,common,1.0,0.11676065018565407,0.13669313910863665,0.20038572296491267,0.0,0.0,0.8757583831177865,,,EXPLORE
56,62,,,0,0,0,0,common,1.0,0.07589442262067514,0.12081817345914583,0.1630383328616414,0.0,0.0,0.8777258643870567,,,EXPLORE
57,62,,,0,0,0,0,common,1.0,0.049331374703438846,0.11139226094202907,0.12892624541418063,0.0,0.0,0.8796132361216902,,,EXPLOIT
58,62,,,0,0,0,0,common,0.0,0.9679346064427647,0.10562223783065777,0.38062875372275584,0.0,0.0,0.8814252037192541,,,EXPLOIT
59,62,,,0,0,0,0,common,1.0,0.3708425058122029,0.2790827441080281,0.37769287934958995,0.0,0.0,0.8831661112882008,,,EXPLORE
60,62,,,0,0,0,0,common,1.0,0.24104762877793195,0.19637831033700487,0.3366993041780925,0.0,0.0,0.8848399756728494,,,EXPLORE
61,62,,,0,1,1,0,common,0.0,0.019006400562696854,0.1539157132814285,0.2413914330934738,0.0,0.0,0.886450516704214,,,EXPLORE
62,62,,,0,0,0,0,common,0.0,0.8433190412943442,0.1509231678090178,0.4219697155537349,0.0,0.0,0.8880011841562243,,,EXPLOIT
63,62,,,0,1,1,0,common,0.0,0.012354160365752955,0.3358618378157813,0.2990850489973403,0.0,0.0,0.889495181818495,,,EXPLORE
64,62,,,0,0,0,0,common,1.0,0.4518426231586763,0.33238906852446526,0.3449123212457411,0.0,0.0,0.8909354890391806,,,EXPLORE
65,62,,,0,1,1,0,common,0.0,0.008030204237739421,0.2205882050732652,0.24384768614334057,0.0,0.0,0.8923248800427728,,,EXPLORE
