seed,trial,path_choice,reward_total,junction_pause_duration,reorientation_count,retreat_return_count,commit_latency,commit_reason,junction_deliberation_proxy,mode_at_junction,final_mode,one_shot_fired,config_name,ablation_name
48,0,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,1,open,1.0,7,2,0,6,timeout,6.02535169073515,explore,exploit,False,stage3_1a,full
48,2,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,3,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
48,4,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,5,open,0.0,7,2,0,6,bound,6.02535169073515,explore,exploit,False,stage3_1a,full
48,6,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,7,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,8,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,9,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,10,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
48,11,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,12,covered,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
48,13,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
48,14,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,15,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,16,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,17,open,0.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
48,18,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,19,open,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,20,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,21,covered,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,22,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,23,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
48,24,open,1.0,7,2,0,6,timeout,6.02535169073515,explore,exploit,False,stage3_1a,full
48,25,covered,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,26,open,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,27,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
48,28,open,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,29,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,30,covered,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,31,covered,1.0,7,4,0,6,bound,8.02535169073515,explore,exploit,False,stage3_1a,full
48,32,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,33,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,34,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,35,covered,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,36,open,0.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,37,open,1.0,7,4,0,6,bound,8.02535169073515,explore,exploit,False,stage3_1a,full
48,38,open,1.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
48,39,open,1.0,7,5,0,6,timeout,9.02535169073515,explore,exploit,False,stage3_1a,full
48,40,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,41,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,42,open,1.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
48,43,covered,1.0,7,4,0,6,bound,8.02535169073515,explore,exploit,False,stage3_1a,full
48,44,covered,1.0,7,1,0,6,bound,5.025351690735149,explore,exploit,False,stage3_1a,full
48,45,open,0.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,46,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
48,47,covered,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,48,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
48,49,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,50,covered,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,51,open,0.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
48,52,open,1.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
48,53,open,0.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,54,open,0.0,7,3,0,6,bound,7.02535169073515,explore,exploit,False,stage3_1a,full
48,55,open,0.0,7,3,0,6,timeout,7.02535169073515,explore,exploit,False,stage3_1a,full
48,56,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,57,covered,1.0,5,1,0,4,bound,4.401197381662155,explore,exploit,False,stage3_1a,full
48,58,open,1.0,4,0,0,3,bound,2.995732273553991,explore,exploit,False,stage3_1a,full
48,59,open,1.0,5,2,0,4,bound,5.401197381662155,explore,exploit,False,stage3_1a,full
48,60,open,0.0,7,4,0,6,timeout,8.02535169073515,explore,exploit,False,stage3_1a,full
