seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,29.0,71.0,0.29,0.71,0.73,2.45,3.45,0.68,1.0,100.0,0.0,1.0,0.0
43,100.0,33.0,67.0,0.33,0.67,0.74,2.38,3.38,0.58,1.0,100.0,0.0,1.0,0.0
44,100.0,32.0,68.0,0.32,0.68,0.65,2.52,3.52,0.77,1.0,100.0,0.0,1.0,0.0
45,100.0,32.0,68.0,0.32,0.68,0.68,2.5,3.5,0.77,1.0,100.0,0.0,1.0,0.0
46,100.0,39.0,61.0,0.39,0.61,0.77,2.6,3.6,0.83,1.0,100.0,0.0,1.0,0.0
47,100.0,29.0,71.0,0.29,0.71,0.67,2.39,3.39,0.58,1.0,100.0,0.0,1.0,0.0
48,100.0,31.0,69.0,0.31,0.69,0.74,2.44,3.44,0.7,1.0,100.0,0.0,1.0,0.0
49,100.0,29.0,71.0,0.29,0.71,0.7,2.41,3.41,0.6,1.0,100.0,0.0,1.0,0.0
50,100.0,30.0,70.0,0.3,0.7,0.74,2.51,3.51,0.78,1.0,100.0,0.0,1.0,0.0
51,100.0,30.0,70.0,0.3,0.7,0.69,2.45,3.45,0.66,1.0,100.0,0.0,1.0,0.0
52,100.0,33.0,67.0,0.33,0.67,0.77,2.45,3.45,0.68,1.0,100.0,0.0,1.0,0.0
53,100.0,29.0,71.0,0.29,0.71,0.65,2.49,3.49,0.73,1.0,100.0,0.0,1.0,0.0
54,100.0,28.0,72.0,0.28,0.72,0.7,2.53,3.53,0.77,1.0,100.0,0.0,1.0,0.0
55,100.0,33.0,67.0,0.33,0.67,0.69,2.46,3.46,0.65,1.0,100.0,0.0,1.0,0.0
56,100.0,30.0,70.0,0.3,0.7,0.68,2.44,3.44,0.71,1.0,100.0,0.0,1.0,0.0
57,100.0,34.0,66.0,0.34,0.66,0.7,2.46,3.46,0.7,1.0,100.0,0.0,1.0,0.0
58,100.0,37.0,63.0,0.37,0.63,0.66,2.44,3.44,0.7,1.0,100.0,0.0,1.0,0.0
59,100.0,36.0,64.0,0.36,0.64,0.74,2.54,3.54,0.79,1.0,100.0,0.0,1.0,0.0
60,100.0,38.0,62.0,0.38,0.62,0.73,2.47,3.47,0.75,1.0,100.0,0.0,1.0,0.0
61,100.0,28.0,72.0,0.28,0.72,0.61,2.58,3.58,0.85,1.0,100.0,0.0,1.0,0.0
62,100.0,24.0,76.0,0.24,0.76,0.67,2.51,3.51,0.74,1.0,100.0,0.0,1.0,0.0
63,100.0,29.0,71.0,0.29,0.71,0.71,2.46,3.46,0.66,1.0,100.0,0.0,1.0,0.0
64,100.0,31.0,69.0,0.31,0.69,0.63,2.5,3.5,0.76,1.0,100.0,0.0,1.0,0.0
65,100.0,33.0,67.0,0.33,0.67,0.73,2.38,3.38,0.54,1.0,100.0,0.0,1.0,0.0
66,100.0,33.0,67.0,0.33,0.67,0.64,2.5,3.5,0.75,1.0,100.0,0.0,1.0,0.0
67,100.0,32.0,68.0,0.32,0.68,0.75,2.41,3.41,0.61,1.0,100.0,0.0,1.0,0.0
68,100.0,32.0,68.0,0.32,0.68,0.73,2.53,3.53,0.75,1.0,100.0,0.0,1.0,0.0
69,100.0,28.0,72.0,0.28,0.72,0.67,2.52,3.52,0.81,1.0,100.0,0.0,1.0,0.0
70,100.0,28.0,72.0,0.28,0.72,0.7,2.53,3.53,0.78,1.0,100.0,0.0,1.0,0.0
71,100.0,31.0,69.0,0.31,0.69,0.74,2.44,3.44,0.69,1.0,100.0,0.0,1.0,0.0
72,100.0,30.0,70.0,0.3,0.7,0.68,2.5,3.5,0.71,1.0,100.0,0.0,1.0,0.0
73,100.0,40.0,60.0,0.4,0.6,0.68,2.46,3.46,0.76,1.0,100.0,0.0,1.0,0.0
74,100.0,25.0,75.0,0.25,0.75,0.7,2.46,3.46,0.68,1.0,100.0,0.0,1.0,0.0
