seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,30.0,12.0,18.0,0.4,0.6,0.6,3.3333333333333335,4.333333333333333,1.1333333333333333,1.0,28.0,2.0,0.9333333333333333,0.06666666666666667
43,30.0,12.0,18.0,0.4,0.6,0.6666666666666666,2.933333333333333,3.933333333333333,0.7,1.0,27.0,3.0,0.9,0.1
44,30.0,14.0,16.0,0.4666666666666667,0.5333333333333333,0.6333333333333333,3.6666666666666665,4.666666666666667,1.3666666666666667,1.0,24.0,6.0,0.8,0.2
45,30.0,14.0,16.0,0.4666666666666667,0.5333333333333333,0.6333333333333333,3.6,4.6,1.5,1.0,27.0,3.0,0.9,0.1
46,30.0,13.0,17.0,0.43333333333333335,0.5666666666666667,0.6666666666666666,3.066666666666667,4.066666666666666,0.8333333333333334,1.0,28.0,2.0,0.9333333333333333,0.06666666666666667
47,30.0,9.0,21.0,0.3,0.7,0.5333333333333333,3.066666666666667,4.066666666666666,0.8333333333333334,1.0,29.0,1.0,0.9666666666666667,0.03333333333333333
48,30.0,11.0,19.0,0.36666666666666664,0.6333333333333333,0.7666666666666667,3.066666666666667,4.066666666666666,0.8666666666666667,1.0,30.0,0.0,1.0,0.0
49,30.0,14.0,16.0,0.4666666666666667,0.5333333333333333,0.6666666666666666,3.466666666666667,4.466666666666667,1.3333333333333333,1.0,24.0,6.0,0.8,0.2
50,30.0,14.0,16.0,0.4666666666666667,0.5333333333333333,0.7333333333333333,3.533333333333333,4.533333333333333,1.2666666666666666,1.0,27.0,3.0,0.9,0.1
51,30.0,16.0,14.0,0.5333333333333333,0.4666666666666667,0.6666666666666666,3.6,4.6,1.4333333333333333,1.0,25.0,5.0,0.8333333333333334,0.16666666666666666
