seed,n_trials,n_open,n_covered,p_open,p_covered,mean_reward_total,mean_commit_latency,mean_junction_pause_duration,mean_reorientation_count,p_explore_at_junction,n_commit_bound,n_commit_timeout,p_commit_bound,p_commit_timeout
42,100.0,40.0,60.0,0.4,0.6,0.72,4.35,5.35,1.64,1.0,84.0,16.0,0.84,0.16
43,100.0,34.0,66.0,0.34,0.66,0.72,4.58,5.58,1.69,1.0,78.0,22.0,0.78,0.22
44,100.0,41.0,59.0,0.41,0.59,0.67,4.6,5.6,1.8,1.0,82.0,18.0,0.82,0.18
45,100.0,34.0,66.0,0.34,0.66,0.67,4.17,5.17,1.47,1.0,85.0,15.0,0.85,0.15
46,100.0,34.0,66.0,0.34,0.66,0.79,4.68,5.68,1.96,1.0,76.0,24.0,0.76,0.24
47,100.0,39.0,61.0,0.39,0.61,0.63,4.41,5.41,1.67,1.0,85.0,15.0,0.85,0.15
48,100.0,39.0,61.0,0.39,0.61,0.73,4.63,5.63,1.92,1.0,80.0,20.0,0.8,0.2
49,100.0,39.0,61.0,0.39,0.61,0.69,4.48,5.48,1.68,1.0,84.0,16.0,0.84,0.16
50,100.0,41.0,59.0,0.41,0.59,0.72,4.58,5.58,1.94,1.0,76.0,24.0,0.76,0.24
51,100.0,40.0,60.0,0.4,0.6,0.7,4.51,5.51,1.85,1.0,80.0,20.0,0.8,0.2
52,100.0,39.0,61.0,0.39,0.61,0.79,4.33,5.33,1.65,1.0,83.0,17.0,0.83,0.17
53,100.0,39.0,61.0,0.39,0.61,0.67,4.48,5.48,1.65,1.0,82.0,18.0,0.82,0.18
54,100.0,36.0,64.0,0.36,0.64,0.76,4.59,5.59,1.9,1.0,81.0,19.0,0.81,0.19
55,100.0,39.0,61.0,0.39,0.61,0.64,4.16,5.16,1.42,1.0,87.0,13.0,0.87,0.13
56,100.0,38.0,62.0,0.38,0.62,0.66,4.5,5.5,1.78,1.0,81.0,19.0,0.81,0.19
57,100.0,38.0,62.0,0.38,0.62,0.73,4.53,5.53,1.76,1.0,78.0,22.0,0.78,0.22
58,100.0,37.0,63.0,0.37,0.63,0.69,4.67,5.67,1.8,1.0,81.0,19.0,0.81,0.19
59,100.0,44.0,56.0,0.44,0.56,0.72,4.43,5.43,1.7,1.0,82.0,18.0,0.82,0.18
60,100.0,42.0,58.0,0.42,0.58,0.68,4.57,5.57,1.81,1.0,77.0,23.0,0.77,0.23
61,100.0,39.0,61.0,0.39,0.61,0.57,4.42,5.42,1.75,1.0,86.0,14.0,0.86,0.14
62,100.0,41.0,59.0,0.41,0.59,0.65,4.44,5.44,1.77,1.0,79.0,21.0,0.79,0.21
63,100.0,41.0,59.0,0.41,0.59,0.69,4.43,5.43,1.65,1.0,87.0,13.0,0.87,0.13
64,100.0,28.0,72.0,0.28,0.72,0.66,4.34,5.34,1.73,1.0,82.0,18.0,0.82,0.18
65,100.0,37.0,63.0,0.37,0.63,0.71,4.24,5.24,1.5,1.0,86.0,14.0,0.86,0.14
66,100.0,30.0,70.0,0.3,0.7,0.66,4.47,5.47,1.69,1.0,81.0,19.0,0.81,0.19
67,100.0,42.0,58.0,0.42,0.58,0.72,4.42,5.42,1.54,1.0,87.0,13.0,0.87,0.13
68,100.0,41.0,59.0,0.41,0.59,0.72,4.4,5.4,1.7,1.0,82.0,18.0,0.82,0.18
69,100.0,33.0,67.0,0.33,0.67,0.68,4.35,5.35,1.69,1.0,87.0,13.0,0.87,0.13
70,100.0,36.0,64.0,0.36,0.64,0.71,4.5,5.5,1.88,1.0,77.0,23.0,0.77,0.23
71,100.0,42.0,58.0,0.42,0.58,0.73,4.57,5.57,1.74,1.0,87.0,13.0,0.87,0.13
72,100.0,38.0,62.0,0.38,0.62,0.72,4.73,5.73,1.92,1.0,79.0,21.0,0.79,0.21
73,100.0,42.0,58.0,0.42,0.58,0.71,4.43,5.43,1.73,1.0,86.0,14.0,0.86,0.14
74,100.0,28.0,72.0,0.28,0.72,0.73,4.44,5.44,1.45,1.0,84.0,16.0,0.84,0.16
75,100.0,38.0,62.0,0.38,0.62,0.65,4.52,5.52,1.81,1.0,79.0,21.0,0.79,0.21
76,100.0,36.0,64.0,0.36,0.64,0.74,4.38,5.38,1.68,1.0,81.0,19.0,0.81,0.19
77,100.0,39.0,61.0,0.39,0.61,0.66,4.45,5.45,1.81,1.0,82.0,18.0,0.82,0.18
78,100.0,33.0,67.0,0.33,0.67,0.69,4.31,5.31,1.45,1.0,85.0,15.0,0.85,0.15
79,100.0,35.0,65.0,0.35,0.65,0.71,4.52,5.52,1.7,1.0,85.0,15.0,0.85,0.15
80,100.0,38.0,62.0,0.38,0.62,0.68,4.5,5.5,1.61,1.0,84.0,16.0,0.84,0.16
81,100.0,40.0,60.0,0.4,0.6,0.7,4.66,5.66,1.8,1.0,79.0,21.0,0.79,0.21
82,100.0,34.0,66.0,0.34,0.66,0.69,4.68,5.68,2.02,1.0,72.0,28.0,0.72,0.28
