agent_class,seed,latency,explore_pre,explore_shock,explore_post,v_g_mean,v_p_mean,n_explore_total
RheologicalAgent,42,11,0.01,0.4666666666666667,0.0,0.7412135104935133,0.7936620259572806,181
RheologicalAgent,43,1,0.42,0.6333333333333333,0.3,0.578509968560674,0.6379617625014252,639
RheologicalAgent,44,3,0.47,0.5333333333333333,0.11,0.7196533072493194,0.7764583102239637,220
RheologicalAgent,45,224,0.33,0.0,0.0,0.7693205655250288,0.8215655320394308,128
RheologicalAgent,46,181,0.53,0.0,0.01,0.6726947486804932,0.7288105714592821,363
RheologicalAgent,47,343,0.0,0.0,0.0,0.7208427287693051,0.7737325910767704,253
RheologicalAgent,48,430,0.47,0.0,0.0,0.6856816526210627,0.7445782371844946,363
RheologicalAgent,49,72,0.0,0.0,0.0,0.7398873020161424,0.7907072556904258,202
RheologicalAgent,50,7,0.04,0.4,0.02,0.7268576856719399,0.7815590319391212,202
RheologicalAgent,51,154,0.02,0.0,0.35,0.7634981930811171,0.8168378352783641,129
RheologicalAgent,52,1,0.46,0.5333333333333333,0.11,0.6820453982422936,0.7393600416325896,329
RheologicalAgent,53,88,0.0,0.0,0.88,0.691246602889848,0.7492148848666684,318
RheologicalAgent,54,30,0.0,0.0,0.0,0.652790781466802,0.7120119801312265,411
RheologicalAgent,55,1,0.11,0.9,0.0,0.7512398869869598,0.8060715101402617,113
RheologicalAgent,56,16,0.05,0.4666666666666667,0.0,0.6991827153629042,0.7537675754626989,316
RheologicalAgent,57,297,0.28,0.0,0.0,0.6927014541652434,0.7465475273089598,278
RheologicalAgent,58,35,0.0,0.0,0.0,0.7642372216859701,0.8174044567558695,139
RheologicalAgent,59,7,0.01,0.6,0.37,0.6490099924139532,0.7068126586622638,415
RheologicalAgent,60,1,0.24,1.0,0.45,0.686802393878191,0.7429853713476643,345
RheologicalAgent,61,50,0.0,0.0,0.18,0.7381486637559308,0.7918072703740345,161
RheologicalAgent,62,1,0.07,0.9,0.0,0.6891895133015482,0.7461683250460304,327
RheologicalAgent,63,14,0.0,0.5333333333333333,0.0,0.6943149867323363,0.7500608974171596,344
RheologicalAgent,64,28,0.0,0.06666666666666667,0.0,0.7688683339214981,0.820560460459845,121
RheologicalAgent,65,124,0.0,0.0,0.02,0.7041385485313358,0.7592133534094689,258
RheologicalAgent,66,999,0.0,0.0,0.0,0.7453597304773882,0.7975229922267253,154
RheologicalAgent,67,9,0.32,0.6,0.19,0.6854503359946932,0.7407919150144375,360
RheologicalAgent,68,699,0.0,0.0,0.0,0.7780308528262243,0.8290320258237877,89
RheologicalAgent,69,325,0.0,0.0,0.0,0.712978063360837,0.7696006352237703,282
RheologicalAgent,70,459,0.0,0.0,0.0,0.7492603217989837,0.8009011595637339,170
RheologicalAgent,71,94,0.0,0.0,0.4,0.7044695677258884,0.7581998883893716,275
RheologicalAgent_NoVG,42,1,1.0,1.0,0.98,0.0,0.7931968653109698,1995
RheologicalAgent_NoVG,43,1,1.0,1.0,0.94,0.0,0.7256971968803668,1990
RheologicalAgent_NoVG,44,1,0.98,1.0,0.99,0.0,0.7448868525882422,1990
RheologicalAgent_NoVG,45,1,1.0,1.0,1.0,0.0,0.7280441681334455,1991
RheologicalAgent_NoVG,46,1,1.0,1.0,1.0,0.0,0.6828632870239285,1987
RheologicalAgent_NoVG,47,1,1.0,1.0,1.0,0.0,0.708978011138503,1989
RheologicalAgent_NoVG,48,1,1.0,1.0,1.0,0.0,0.7443683311167645,1993
RheologicalAgent_NoVG,49,1,0.94,1.0,1.0,0.0,0.7888982716884145,1984
RheologicalAgent_NoVG,50,1,1.0,0.9666666666666667,1.0,0.0,0.8144053458787635,1993
RheologicalAgent_NoVG,51,1,0.99,1.0,1.0,0.0,0.7933910317345122,1992
RheologicalAgent_NoVG,52,1,1.0,1.0,1.0,0.0,0.7579955100861329,1993
RheologicalAgent_NoVG,53,1,1.0,1.0,1.0,0.0,0.7756083461004695,1989
RheologicalAgent_NoVG,54,1,1.0,1.0,0.96,0.0,0.7351876608218515,1993
RheologicalAgent_NoVG,55,1,1.0,1.0,1.0,0.0,0.7549725010438891,1993
RheologicalAgent_NoVG,56,1,0.97,1.0,1.0,0.0,0.7374694428489933,1990
RheologicalAgent_NoVG,57,1,1.0,1.0,1.0,0.0,0.7009084645544237,1999
RheologicalAgent_NoVG,58,1,1.0,1.0,1.0,0.0,0.7909565333225159,1967
RheologicalAgent_NoVG,59,1,1.0,1.0,1.0,0.0,0.7645119492114293,1987
RheologicalAgent_NoVG,60,1,1.0,1.0,1.0,0.0,0.7862462665184666,1989
RheologicalAgent_NoVG,61,1,1.0,1.0,1.0,0.0,0.7605561614036418,1997
RheologicalAgent_NoVG,62,1,0.98,1.0,1.0,0.0,0.7307262081653543,1988
RheologicalAgent_NoVG,63,1,1.0,1.0,1.0,0.0,0.73314257266777,1990
RheologicalAgent_NoVG,64,1,0.99,1.0,0.91,0.0,0.7456559164166371,1987
RheologicalAgent_NoVG,65,1,1.0,1.0,1.0,0.0,0.7113476015298537,1996
