trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,71,,,0,1,1,1,common,0.0,0.5,0.6931471803599453,0.15,0.0,0.5,0.5,,,EXPLOIT
2,71,,,0,0,0,0,common,1.0,0.5,0.6354546081677416,0.255,0.0,0.5260663507109005,0.5433789954337899,,,EXPLOIT
3,71,,,0,0,1,0,rare,0.0,0.5,0.4973599657364365,0.3285,0.0,0.5493262427328857,0.5794962364913165,,,EXPLOIT
4,71,,,0,0,0,0,common,1.0,0.32499999999999996,0.6679236599597096,0.32744999999999996,0.0,0.570208762497792,0.6100329171214658,,,EXPLOIT
5,71,,,0,0,1,0,rare,0.0,0.325,0.5323034806309875,0.326715,0.0,0.5890597666503006,0.6361884525043351,,,EXPLOIT
6,71,,,0,0,1,1,rare,0.0,0.325,0.6779395004436102,0.3262005,0.0,0.6061611288293314,0.65884152052499,,,EXPLOIT
7,71,,,0,0,0,1,common,0.0,0.5,0.686773437746204,0.37834035,0.0,0.621744881595395,0.678650554588017,,,EXPLOIT
8,71,,,0,0,1,1,rare,0.0,0.21125000000000002,0.6497853079152458,0.328213245,0.0,0.6360037662619006,0.6961186809978029,,,EXPLOIT
9,71,,,0,0,0,0,common,1.0,0.21124999999999994,0.6110132921202038,0.2931242714999999,0.0,0.6490992118689946,0.7116369601865663,,,EXPLOIT
10,71,,,0,1,1,0,common,1.0,0.78875,0.6740368556165968,0.44181199004999994,0.0,0.661167445672263,0.7255139427248888,,,EXPLOIT
11,71,,,0,1,0,0,rare,1.0,0.13731249999999995,0.6566924887018628,0.3504621430349999,0.0,0.6723242264513416,0.7379963399676884,,,EXPLOIT
12,71,,,0,1,1,0,common,0.0,0.48731250000000004,0.5486003697083494,0.3915172501244999,0.0,0.6826685496483146,0.7492837770280747,,,EXPLOIT
13,71,,,0,0,0,1,common,0.0,0.325,0.6898081823635145,0.3715620750871499,0.0,0.6922855757947949,0.7595395145573263,,,EXPLOIT
14,71,,,0,1,1,0,common,0.0,0.316753125,0.6263569171050456,0.3551193900610049,0.0,0.7012489657746,0.768898368448788,,,EXPLOIT
15,71,,,0,1,1,1,common,1.0,0.8626875,0.6917337267422279,0.5073898230427034,0.0,0.7096227585168867,0.7774726461630808,,,EXPLOIT
16,71,,,0,0,0,0,common,0.0,0.9107468750000001,0.5654176784405138,0.6283969386298924,0.0,0.6893790720804099,0.7560315860740666,,,EXPLOIT
17,71,,,0,0,1,0,rare,0.0,0.20588953125000004,0.481945081233902,0.5016447164159247,0.0,0.6663513150483126,0.7303057346651898,,,EXPLOIT
18,71,,,0,0,1,0,rare,1.0,0.8661718046875,0.4259883495685974,0.6110028428973973,0.0,0.6399241803468478,0.698869857887551,,,EXPLOIT
19,71,,,0,0,1,0,rare,0.0,0.436988326953125,0.6648503541618067,0.5587984881141155,0.0,0.6092866230835842,0.6595878055737532,,,EXPLORE
20,71,,,0,0,0,0,common,0.0,0.5919854687500001,0.56644529384992,0.5687545823048809,0.0,0.5733473019851806,0.6091060988211151,,,EXPLORE
21,71,,,0,0,1,1,rare,1.0,0.560746875,0.4826748571448804,0.5663522701134165,0.0,0.5306020402537216,0.5418427150007074,,,EXPLORE
22,71,,,0,1,1,1,common,1.0,0.36448546875,0.6806907574817314,0.5057922297043915,0.0,0.4789182253496696,0.447767041960422,,,EXPLORE
23,71,,,0,0,1,0,rare,0.0,0.2840424125195313,0.5913546947958936,0.43926728454893343,0.0,0.41516833561098826,0.30686562127423533,,,EXPLORE
24,71,,,0,1,1,0,common,1.0,0.8153724318623047,0.45122215386847697,0.5520988287429448,0.0,0.4513918953843867,0.3896091219249182,,,EXPLORE
25,71,,,0,0,0,0,common,1.0,0.6152094453124999,0.36128236464237495,0.5710320137138113,0.0,0.3806388387501897,0.21378179203350253,,,EXPLORE
26,71,,,0,1,1,0,common,0.0,0.4700079192895019,0.5734100964043267,0.5407247853865185,0.0,0.2899851179820685,0.09090909090909093,,,EXPLORE
27,71,,,0,1,0,0,rare,1.0,0.3998861394531249,0.6921926619428962,0.49847319160650033,0.0,0.16966760630098215,0.09090909090909093,,,EXPLORE
28,71,,,0,0,0,0,common,0.0,0.7400740093554687,0.6532000913295595,0.5709534369311908,0.0,0.24373830518431877,0.23017705927636645,,,EXPLORE
29,71,,,0,1,1,1,common,1.0,0.23691555468750003,0.5099396470369584,0.47074207225808357,0.0,0.1064013819892817,0.09090909090909093,,,EXPLORE
30,71,,,0,0,0,0,common,0.0,0.4810481060810547,0.4137859884698901,0.47383388240497487,0.0,0.19216722672792133,0.23017705927636645,,,EXPLORE
31,71,,,0,1,1,1,common,1.0,0.15399511054687498,0.31028586163096106,0.37788225084754484,0.0,0.2622654777606221,0.33155527035247095,,,EXPLORE
32,71,,,0,1,1,1,common,1.0,0.10009682185546875,0.2592228086808337,0.294546622149922,0.0,0.32062731935161876,0.40865139461585376,,,EXPLOIT
33,71,,,0,1,0,1,rare,1.0,0.78875,0.22934804200811226,0.4428076355049454,0.0,0.36997027028210094,0.46925370836719743,,,EXPLOIT
34,71,,,0,0,0,1,common,0.0,0.48731250000000004,0.21135966522793248,0.4561590948534618,0.0,0.4122329899442698,0.5181414926281387,,,EXPLORE
35,71,,,0,1,0,1,rare,0.0,0.316753125,0.16788161267916568,0.41433730389742324,0.0,0.44883565497990136,0.5584101936095955,,,EXPLORE
36,71,,,0,1,0,1,rare,0.0,0.20588953125000004,0.3961715078897484,0.3518029721031962,0.0,0.4808424278749777,0.5921529537657815,,,EXPLOIT
37,71,,,0,1,0,1,rare,0.0,0.1338281953125,0.5830336500044069,0.28641053906598735,0.0,0.5090664362514423,0.6208359130085537,,,EXPLOIT
38,71,,,0,1,1,1,common,1.0,0.06506293420605469,0.6698503925801692,0.22000625760800754,0.0,0.534139674093217,0.6455166258956538,,,EXPLOIT
39,71,,,0,1,1,1,common,1.0,0.04229090723393558,0.4809682375663823,0.16669165249578594,0.0,0.5565607781291854,0.6669771225069359,,,EXPLOIT
40,71,,,0,1,1,1,common,1.0,0.0274890897020581,0.33502076684843646,0.12493088365766757,0.0,0.5767284399866589,0.6858081495669813,,,EXPLOIT
41,71,,,0,1,1,1,common,1.0,0.017867908306337776,0.25385659921922843,0.09281199105226862,0.0,0.5949652521536642,0.7024642847715783,,,EXPLOIT
42,71,,,0,1,0,0,rare,1.0,0.6873187310473144,0.20912983395111057,0.27116401305078236,0.0,0.6115350375824783,0.7173010333450142,,,EXPLOIT
43,71,,,0,1,1,1,common,1.0,0.011614140399119566,0.18350694374112586,0.1932990512552835,0.0,0.6266556499407776,0.7306004237646555,,,EXPLOIT
44,71,,,0,1,1,1,common,1.0,0.007549191259427768,0.16826290548404133,0.13757409325652675,0.0,0.6405085679758549,0.7425890580670904,,,EXPLOIT
45,71,,,0,1,1,1,common,1.0,0.004906974318628077,0.1589302517829289,0.09777395757515714,0.0,0.6532461832085075,0.7534510902583895,,,EXPLOIT
46,71,,,0,1,1,1,common,1.0,0.00318953330710825,0.15310091184554764,0.06939863029474247,0.0,0.6649974030264069,0.763337721105509,,,EXPLOIT
47,71,,,0,1,0,0,rare,1.0,0.4467571751807544,0.14941001873051277,0.18260619376054604,0.0,0.6758720066316539,0.7723742534998811,,,EXPLOIT
48,71,,,0,1,1,1,common,1.0,0.002073196649620357,0.1470518753082364,0.1284462946272683,0.0,0.6859640661152372,0.7806654095703525,,,EXPLOIT
49,71,,,0,1,1,1,common,1.0,0.0013475778222532542,0.14553622579566833,0.09031667958576378,0.0,0.695354658657199,0.7882993894728533,,,EXPLOIT
50,71,,,0,1,0,0,rare,1.0,0.29039216386749045,0.14455825452456292,0.1503393248702818,0.0,0.7041140354972543,0.7953510060940612,,,EXPLOIT
51,71,,,0,1,0,0,rare,1.0,0.18875490651386884,0.14392560388043515,0.16186399936335788,0.0,0.7123033705133673,0.8018841321522703,,,EXPLOIT
52,71,,,0,1,1,1,common,1.0,0.0008759255844645875,0.1435156581963558,0.11356757722968988,0.0,0.7199761804945136,0.807953629454032,,,EXPLOIT
53,71,,,0,1,1,1,common,0.0,0.999430648370098,0.1432497322441412,0.37932649857181233,0.0,0.7271794868403898,0.8136068837988685,,,EXPLOIT
54,71,,,0,1,1,1,common,1.0,0.35037007855943636,0.3662107026268473,0.37063957256809954,0.0,0.7339547719920534,0.8188850364764139,,,EXPLOIT
55,71,,,0,0,0,1,common,1.0,0.913011673046875,0.27084148975240097,0.5333512027117322,0.0,0.7403387716985165,0.8238239800953084,,,EXPLOIT
56,71,,,0,0,1,1,rare,1.0,0.22774055106363367,0.5200163307330398,0.4416680072173026,0.0,0.7239597485405456,0.8102243522116607,,,EXPLOIT
57,71,,,0,1,1,1,common,1.0,0.14803135819136193,0.659961830841558,0.35357701250952034,0.0,0.7309248221307221,0.8157254785012195,,,EXPLOIT
58,71,,,0,1,1,1,common,0.0,0.9037796171756147,0.611585763952758,0.5186377939093486,0.0,0.7374824509468768,0.8208661975793311,,,EXPLOIT
59,71,,,0,0,0,0,common,1.0,0.12269068923401472,0.6781259045620237,0.3998536625067484,0.0,0.7207621538396654,0.806822829491314,,,EXPLOIT
60,71,,,0,0,1,1,rare,1.0,0.4125432488358505,0.610044655282675,0.403660538405479,0.0,0.7279181566356725,0.8125525735534647,,,EXPLOIT
61,71,,,0,0,0,0,common,1.0,0.07974894800210952,0.5456088226569149,0.3064870612844681,0.0,0.734650249532644,0.8178997577030058,,,EXPLOIT
62,71,,,0,0,0,0,common,1.0,0.05183681620137115,0.49937227796906103,0.230091987759539,0.0,0.7409947053263857,0.8229012135425563,,,EXPLOIT
63,71,,,0,0,0,0,common,1.0,0.0336939305308912,0.4685693154614114,0.17117257059094468,0.0,0.7469837735592227,0.8275891918880783,,,EXPLOIT
64,71,,,0,0,0,0,common,1.0,0.021901054845079315,0.4484952280643465,0.12639111586718504,0.0,0.7526462232855009,0.8319920534477583,,,EXPLOIT
65,71,,,0,0,1,0,rare,0.0,0.30550514753817626,0.4354896918512826,0.18012532536848241,0.0,0.7580078002780489,0.8361348381924965,,,EXPLOIT
