trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,65,,,0,1,1,0,common,0.0,0.5,0.6931471803599453,0.15,0.0,0.0,0.5,,,EXPLOIT
2,65,,,0,1,1,0,common,1.0,0.675,0.6354546081677416,0.3075,0.0,0.0,0.5433789954337899,,,EXPLORE
3,65,,,0,0,0,0,common,1.0,0.5,0.6856999791554921,0.36524999999999996,0.0,0.0,0.5794962364913165,,,EXPLORE
4,65,,,0,0,1,1,rare,1.0,0.5,0.6679236599597097,0.405675,0.0,0.0,0.6100329171214658,,,EXPLORE
5,65,,,0,0,0,0,common,1.0,0.32499999999999996,0.5994434819992212,0.38147249999999994,0.0,0.0,0.6361884525043351,,,EXPLORE
6,65,,,0,1,1,1,common,1.0,0.32499999999999996,0.539824216224562,0.3645307499999999,0.0,0.0,0.65884152052499,,,EXPLORE
7,65,,,0,0,0,0,common,1.0,0.21124999999999994,0.6512541270964156,0.31854652499999986,0.0,0.0,0.678650554588017,,,EXPLORE
8,65,,,0,1,1,1,common,0.0,0.7887500000000001,0.6218842065732162,0.45960756749999987,0.0,0.0,0.6961186809978029,,,EXPLORE
9,65,,,0,1,0,0,rare,0.0,0.8626875,0.4117154257793028,0.5805315472499999,0.0,0.0,0.7116369601865663,,,EXPLORE
10,65,,,0,0,1,0,rare,0.0,0.56125,0.2801003654213239,0.5747470830749999,0.0,0.0,0.6756587360654348,,,EXPLORE
11,65,,,0,1,0,1,rare,0.0,0.5,0.549558093033707,0.5523229581524999,0.0,0.0,0.6299504180512466,,,EXPLORE
12,65,,,0,1,1,0,common,0.0,0.36481250000000004,0.45653661097804316,0.4960698207067499,0.0,0.0,0.56995113901225,,,EXPLORE
13,65,,,0,1,1,0,common,0.0,0.23712812500000002,0.3957619554849243,0.4183873119947249,0.0,0.0,0.601920969753328,,,EXPLORE
14,65,,,0,0,0,0,common,1.0,0.439253125,0.357771907675726,0.4246470558963074,0.0,0.0,0.6292098618797897,,,EXPLORE
15,65,,,0,0,0,1,common,0.0,0.325,0.25016749666468824,0.39475293912741516,0.0,0.0,0.6527746339228047,,,EXPLORE
16,65,,,0,1,1,1,common,0.0,0.5126875000000001,0.45743635900457624,0.43013330738919064,0.0,0.0,0.6733279651225087,,,EXPLORE
17,65,,,0,1,1,1,common,1.0,0.666753125,0.4315287347897925,0.5011192526724334,0.0,0.0,0.6914115936158225,,,EXPLORE
18,65,,,0,0,0,0,common,1.0,0.28551453125000004,0.6762973255654733,0.43643783624570337,0.0,0.0,0.6501241661809357,,,EXPLORE
19,65,,,0,0,1,1,rare,1.0,0.43338953125,0.5617133312650071,0.4355233447469923,0.0,0.0,0.6710066645164752,,,EXPLORE
20,65,,,0,1,1,1,common,1.0,0.2817031953125,0.4578165298751459,0.3893772999166446,0.0,0.0,0.6893618387137213,,,EXPLORE
21,65,,,0,0,1,1,rare,1.0,0.183107076953125,0.6329405634577818,0.3274962330275887,0.0,0.0,0.7056215425173804,,,EXPLORE
22,65,,,0,1,1,1,common,1.0,0.11901960001953127,0.5772453062492457,0.26495324312517143,0.0,0.0,0.7201245421104463,,,EXPLORE
23,65,,,0,0,1,1,rare,1.0,0.07736274001269527,0.6667841049786404,0.20867609219142857,0.0,0.0,0.733140315316646,,,EXPLORE
24,65,,,0,0,0,0,common,1.0,0.18558444531250007,0.6405898738022002,0.20174859812775,0.0,0.0,0.7448859044513995,,,EXPLORE
25,65,,,0,1,1,1,common,1.0,0.050285781008251984,0.6196625391889263,0.15630975299190059,0.0,0.0,0.7555380784581286,,,EXPLORE
26,65,,,0,1,1,1,common,0.0,0.9673142423446363,0.6702404335959021,0.39961109979772125,0.0,0.0,0.7652422599843914,,,EXPLORE
27,65,,,0,1,1,0,common,1.0,0.84586671875,0.45342102595877465,0.5334877854834048,0.0,0.0,0.7741191787065964,,,EXPLORE
28,65,,,0,0,0,0,common,1.0,0.12062988945312503,0.5913301527312477,0.4096304166743209,0.0,0.0,0.7520359226258696,,,EXPLORE
29,65,,,0,1,1,1,common,1.0,0.3712457424759864,0.5746933690813967,0.39811501441482056,0.0,0.0,0.7620471821443259,,,EXPLORE
