trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,56,,,0,0,1,1,rare,0.0,0.5,0.6931471803599453,0.15,0.0,0.5,0.0,,,EXPLOIT
2,56,,,0,0,0,0,common,1.0,0.5,0.6354546081677416,0.255,0.0,0.5260663507109005,0.0,,,EXPLOIT
3,56,,,0,0,1,0,rare,0.0,0.5,0.6856999791554921,0.3285,0.0,0.5493262427328857,0.0,,,EXPLOIT
4,56,,,0,0,0,1,common,1.0,0.5,0.6578897610714223,0.37995,0.0,0.570208762497792,0.0,,,EXPLOIT
5,56,,,0,0,1,1,rare,0.0,0.325,0.678192000721634,0.36346500000000004,0.0,0.5890597666503006,0.0,,,EXPLOIT
6,56,,,0,1,1,0,common,0.0,0.325,0.6658919143832673,0.3519255,0.0,0.6061611288293314,0.0,,,EXPLOIT
7,56,,,0,1,1,1,common,1.0,0.78875,0.686773437746204,0.48297284999999995,0.0,0.621744881595395,0.0,,,EXPLOIT
8,56,,,0,1,1,1,common,0.0,0.48731250000000004,0.6325598751947884,0.48427474499999995,0.0,0.6360037662619006,0.0,,,EXPLOIT
9,56,,,0,1,0,1,rare,0.0,0.675,0.6925816230524229,0.5414923215,0.0,0.6490992118689946,0.0,,,EXPLOIT
10,56,,,0,1,1,1,common,0.0,0.316753125,0.6530653598115096,0.47407056255,0.0,0.6199612001357326,0.0,,,EXPLORE
11,56,,,0,0,0,0,common,1.0,0.32499999999999996,0.5994434819992212,0.429349393785,0.0,0.6343689093443354,0.0,,,EXPLOIT
12,56,,,0,0,0,0,common,1.0,0.21124999999999994,0.413641140489285,0.36391957564949995,0.0,0.6475953744748558,0.0,,,EXPLOIT
13,56,,,0,0,0,0,common,1.0,0.13731249999999995,0.2978627089116709,0.2959374529546499,0.0,0.6597795536792638,0.0,,,EXPLOIT
14,56,,,0,0,0,0,common,1.0,0.08925312499999993,0.23440460863279694,0.23393215456825492,0.0,0.6710394324486034,0.0,,,EXPLOIT
15,56,,,0,0,0,0,common,1.0,0.05801453125,0.1988653363862184,0.18115686757277843,0.0,0.681475836463299,0.0,,,EXPLOIT
16,56,,,0,0,0,0,common,1.0,0.03770944531249998,0.17814795430534647,0.1381226408946949,0.0,0.6911754418113739,0.0,,,EXPLOIT
17,56,,,0,0,0,0,common,0.0,0.975488860546875,0.16565480253155826,0.3893325067903489,0.0,0.7002131730128619,0.0,,,EXPLOIT
18,56,,,0,1,0,0,rare,0.0,0.6340677593554688,0.39475078330596863,0.4627530825598849,0.0,0.7086541293419317,0.0,,,EXPLOIT
