trial,seed,config_version,git_commit,s1,a1,s2,a2,trans_type,reward,u_delta,u_s,u_v,u_c,V_G,V_p,eta_G,eta_p,mode
1,513250,,,0,1,1,0,common,0.0,,,,,,,,,
2,627467,,,0,0,0,1,common,0.0,,,,,,,,,
3,812085,,,0,0,1,0,rare,1.0,,,,,,,,,
4,419875,,,0,1,0,0,rare,1.0,,,,,,,,,
5,31887,,,0,0,0,0,common,1.0,,,,,,,,,
6,124330,,,0,0,0,0,common,1.0,,,,,,,,,
7,270646,,,0,0,0,0,common,1.0,,,,,,,,,
8,340555,,,0,0,0,1,common,1.0,,,,,,,,,
9,312274,,,0,0,0,0,common,1.0,,,,,,,,,
10,296646,,,0,1,1,0,common,0.0,,,,,,,,,
11,515543,,,0,0,0,0,common,0.0,,,,,,,,,
12,705639,,,0,1,1,0,common,1.0,,,,,,,,,
13,5450,,,0,1,0,0,rare,0.0,,,,,,,,,
14,840382,,,0,0,0,0,common,1.0,,,,,,,,,
15,495479,,,0,1,1,0,common,0.0,,,,,,,,,
16,228004,,,0,0,0,1,common,0.0,,,,,,,,,
17,296711,,,0,0,0,0,common,1.0,,,,,,,,,
18,780536,,,0,1,1,0,common,0.0,,,,,,,,,
19,488033,,,0,0,0,0,common,1.0,,,,,,,,,
20,349992,,,0,0,0,0,common,1.0,,,,,,,,,
21,830662,,,0,0,0,0,common,1.0,,,,,,,,,
22,756611,,,0,0,1,1,rare,1.0,,,,,,,,,
23,257675,,,0,0,0,0,common,1.0,,,,,,,,,
24,499699,,,0,0,0,0,common,1.0,,,,,,,,,
25,271254,,,0,0,1,1,rare,0.0,,,,,,,,,
26,802611,,,0,0,1,1,rare,1.0,,,,,,,,,
27,535083,,,0,1,1,0,common,1.0,,,,,,,,,
28,881917,,,0,0,0,0,common,1.0,,,,,,,,,
29,229846,,,0,0,1,1,rare,1.0,,,,,,,,,
30,978358,,,0,0,0,0,common,1.0,,,,,,,,,
